,date,views,recommend,number,singer
83,2016-06-24 01:39:37,1966,11,80218,류수영&amp;박예진
84,2016-06-21 09:32:03,768,0,80217,류수영&amp;박예진
85,2016-06-18 11:18:23,624,0,80216,류수영&amp;박예진
86,2016-06-15 14:05:07,254,0,80213,류수영&amp;박예진
87,2016-06-05 16:43:49,998,19,80212,류수영&amp;박예진
88,2016-05-24 01:31:47,870,3,80209,류수영&amp;박예진
89,2016-05-16 10:01:33,706,4,80208,류수영&amp;박예진
90,2016-05-16 10:00:29,517,3,80207,류수영&amp;박예진
91,2016-05-15 22:21:30,659,4,80206,류수영&amp;박예진
92,2016-04-24 00:22:24,610,0,80203,류수영&amp;박예진
93,2016-04-21 00:55:55,689,0,80199,류수영&amp;박예진
94,2016-04-16 14:38:00,915,4,80198,류수영&amp;박예진
95,2016-04-07 01:08:25,437,0,80197,류수영&amp;박예진
96,2016-04-05 22:29:44,310,0,80196,류수영&amp;박예진
97,2016-04-03 16:26:39,710,3,80192,류수영&amp;박예진
98,2016-04-01 00:42:24,485,0,80191,류수영&amp;박예진
