,name,production,distributor,artist,st_day,ed_day,score,rank,장르,런타임,성별,활동유형
0,주지마,한국방송공사,카카오 M,"로꼬, 화사",2018-04-22,2018-04-28,70871768,1,가요 / 발라드,03:52:00,혼성,프로젝트
1,지나오다,닐로 컴퍼니,퍼플파인 엔터테인먼트,닐로,2018-04-22,2018-04-28,42676764,2,가요 / 발라드,04:41:00,남성,솔로
2,What is Love?,JYP Entertainment,Dreamus,TWICE,2018-04-22,2018-04-28,40067058,3,가요 / 댄스,03:28:00,여성,그룹
3,붕붕,Stone Music Entertainment,Stone Music Entertainment,김하온,2018-04-22,2018-04-28,37468296,4,가요 / 랩/힙합,03:55:00,남성,솔로
4,붕붕,Stone Music Entertainment,Stone Music Entertainment,김하온,2018-04-22,2018-04-28,37468296,4,가요 / 랩/힙합,03:55:00,남성,솔로
5,You,JTBC,인터파크,멜로망스,2018-04-22,2018-04-28,37166962,5,가요 / 발라드,04:32:00,남성,듀엣
6,You,JTBC,인터파크,멜로망스,2018-04-22,2018-04-28,37166962,5,가요 / 발라드,04:32:00,남성,듀엣
7,사랑을 했다,YG Entertainment,지니뮤직,iKON,2018-04-22,2018-04-28,30502332,6,가요 / 랩/힙합,03:30:00,남성,그룹
8,별이 빛나는 밤,RBW,카카오 M,마마무,2018-04-22,2018-04-28,30214130,7,가요 / 댄스,03:31:00,여성,그룹
9,바코드,Stone Music Entertainment,Stone Music Entertainment,김하온,2018-04-22,2018-04-28,29054684,8,가요 / 랩/힙합,03:43:00,남성,프로젝트
10,꽃 길,YG Entertainment,지니뮤직,빅뱅,2018-04-22,2018-04-28,28780170,9,가요 / 트로트,03:18:00,여성,솔로
11,EVERYDAY,YG Entertainment,지니뮤직,WINNER,2018-04-22,2018-04-28,28645741,10,가요 / 랩/힙합,03:26:00,남성,그룹
12,뿜뿜,"엠엘디엔터테인먼트, 카카오 M",카카오 M,모모랜드,2018-04-22,2018-04-28,25881139,11,가요 / 댄스,03:29:00,여성,그룹
13,My Way,"윈드밀이엔티, 뮤직버디",뮤직앤뉴,이수,2018-04-22,2018-04-28,25652021,12,OST / 드라마,04:39:00,남성,솔로
14,그날처럼,리메즈,카카오 M,장덕철,2018-04-22,2018-04-28,24695289,13,가요 / 발라드,03:53:00,남성,그룹
15,소나기,어라운드 어스,카카오 M,용준형,2018-04-22,2018-04-28,23715811,14,가요 / 랩/힙합,03:25:00,남성,솔로
16,욕심,"민트페이퍼, 광합성",카카오 M,멜로망스,2018-04-22,2018-04-28,23462276,15,가요 / 인디,04:01:00,남성,듀엣
17,그때 헤어지면 돼,"Stone Music Entertainment, MMO Entertainment",Stone Music Entertainment,로이킴,2018-04-22,2018-04-28,22761890,16,가요 / 발라드,04:09:00,남성,솔로
18,전혀,Stone Music Entertainment,Stone Music Entertainment,이병재,2018-04-22,2018-04-28,22172309,17,가요 / 랩/힙합,03:41:00,남성,솔로
19,선물,"민트페이퍼, 광합성",카카오 M,멜로망스,2018-04-22,2018-04-28,20887380,18,가요 / 인디,04:21:00,남성,듀엣
20,북,Stone Music Entertainment,Stone Music Entertainment,배연서,2018-04-22,2018-04-28,19805079,19,가요 / 랩/힙합,03:33:00,남성,프로젝트
21,북,Stone Music Entertainment,Stone Music Entertainment,배연서,2018-04-22,2018-04-28,19805079,19,가요 / 랩/힙합,03:33:00,남성,프로젝트
