artist,name,rank_g,you_rank_g,previous_ranking,genre,season,sex,song_type,active_type,title_song,week,runtime,top_freq,gg_score,nv_score,total_view,season_genre_score,pd_score,dc_total_numb,dc_mean_reccomend,dc_mean_views,drama_view
박보람,애쓰지 마요,8,10,8,Ballad,spring,female,K_POP,Solo,1,2018.4.29,0.600591716,0.038461538,0.63,0.402220914,0,0.660567269,0.919006717,0,0,0,0
박원,all of my life,5,5,5,Ballad,spring,male,K_POP,Solo,1,2018.4.29,0.659763314,0.307692308,0.29,0.748226857,0.814470395,0.660567269,0.101839947,0,0,0,0
방탄소년단,DNA,5,8,5,Rap/Hiphop,spring,male,K_POP,Group,1,2018.4.29,0.582840237,0.673076923,0.24,0.750274234,0.798477822,0.477571876,0.421637992,0.336909505,0.069112873,0.020682536,0
배연서,북,3,8,2,Rap/Hiphop,spring,male,K_POP,Project,1,2018.4.29,0.553254438,0.076923077,0.44,0.692199287,0.792669844,0.477571876,0.867515849,0,0,0,0
버스커 버스커,벚꽃 엔딩,10,10,9,Rock,spring,male,K_POP,Band,1,2018.4.29,0.695266272,0.192307692,0.26,0.238046284,0,0.509299213,0.867515849,0.341420792,0.070707071,0.032397049,0
볼빨간사춘기,#첫사랑,6,10,6,Indi,spring,female,K_POP,Solo,1,2018.4.29,0.538461538,0.067307692,0.14,0.294895127,0,0.513549813,0.734790572,0,0,0,0
비투비,그리워하다,6,10,6,Ballad,spring,male,K_POP,Group,1,2018.4.29,0.624260355,0.644230769,0.29,0.494544482,0,0.660567269,0.330664453,0,0,0,0
빅뱅,꽃 길,2,3,1,Trot,spring,female,K_POP,Solo,1,2018.4.29,0.50887574,0.307692308,0.44,0.238046284,0.840802104,0.535119941,0.734790572,0.351785617,0.074467301,0.014043444,0
선미,주인공,6,6,6,Dance,spring,female,K_POP,Solo,1,2018.4.29,0.5,0.048076923,0.08,0.150190483,0.812908619,0.551930308,0.388236767,0.278142081,0.050505051,0.008423696,0
아이유,밤편지,4,10,4,Ballad,spring,female,K_POP,Solo,1,2018.4.29,0.671597633,1,0.63,0.415357,0,0.660567269,0.519573706,0,0,0,0
양다일,미안해,6,10,7,R&B/Soul,spring,male,K_POP,Solo,1,2018.4.29,0.600591716,0.788461538,0.22,0.189695748,0,0.56680661,0.238046284,0,0,0,0
어반 자카파,"그때의 나, 그때의 우리",10,10,10,R&B/Soul,spring,mixed,K_POP,Group,1,2018.4.29,0.50887574,0.009615385,0.18,0.35722981,0,0.56680661,0.101839947,0,0,0,0
에일리,첫눈처럼 너에게 가겠다,7,10,7,Drama,spring,female,OST,Solo,1,2018.4.29,0.603550296,0.836538462,0.14,0.321032687,0,0.613522263,0.767878904,0,0,0,0
용준형,소나기,2,10,2,Rap/Hiphop,spring,male,K_POP,Solo,1,2018.4.29,0.529585799,0.375,0.05,0.020651721,0.781668539,0.477571876,0.07290649,0,0,0,0
우원재,시차,5,10,5,Rap/Hiphop,spring,male,K_POP,Solo,1,2018.4.29,0.50295858,0.451923077,0,0.373287456,0,0.477571876,0.473671547,0,0,0,0
윤종신,좋니,5,10,5,Ballad,spring,male,K_POP,Solo,1,2018.4.29,0.893491124,0.528846154,0.21,0.25203043,0,0.660567269,1,0.141594664,0.01962395,0.0310391,0
"윤종신, 민서",좋아,9,10,8,Ballad,spring,mixed,K_POP,Project,1,2018.4.29,0.840236686,0.019230769,0.255,0.271447509,0,0.660567269,1,0,0,0,0
이병재,전혀,3,5,2,Rap/Hiphop,spring,male,K_POP,Solo,1,2018.4.29,0.576923077,0.067307692,0.85,0.711717831,0.815319057,0.477571876,0.867515849,0,0,0,0
이수,My Way,2,2,2,Drama,spring,male,OST,Solo,1,2018.4.29,0.74852071,0.567307692,0.7,0.16076229,0.88098109,0.613522263,0.876424375,0,0,0,0
장덕철,그날처럼,2,3,2,Ballad,spring,male,K_POP,Group,1,2018.4.29,0.612426036,0.807692308,0.31,0.61004013,0.839952116,0.660567269,0.505326759,0,0,0,0
정승환,눈사람,5,8,4,Ballad,spring,male,K_POP,Solo,1,2018.4.29,0.621301775,0.355769231,0.7,0.476092568,0.796609891,0.660567269,0.899101951,0.39726317,0.092691622,0.031062916,0
청하,Roller Coaster,3,2,2,Dance,spring,female,K_POP,Solo,1,2018.4.29,0.553254438,0.586538462,0.26,0.501078014,0.863971696,0.551930308,1,0.118853221,0.015776417,0.005727311,0
펀치,밤이 되니까,4,10,4,R&B/Soul,spring,female,K_POP,Solo,1,2018.4.29,0.532544379,0.355769231,0.43,0.466241823,0,0.56680661,0.230700527,0,0,0,0
포맨,눈 떠보니 이별이더라,6,5,5,Ballad,spring,male,K_POP,Duet,1,2018.4.29,0.76035503,0.096153846,0.45,0.959548725,0.819060911,0.660567269,0.294895127,0,0,0,0
폴킴,"모든 날, 모든 순간",3,4,3,Drama,spring,male,OST,Solo,1,2018.4.29,0.547337278,1,0.07,0.560714292,0.832010966,0.613522263,0.814973326,0,0,0,0.693253947
허각,바보야,10,10,9,Ballad,spring,male,K_POP,Solo,1,2018.4.29,0.704142012,0.009615385,0.47,0.039505265,0,0.660567269,0.18047397,0.248264104,0.042424242,0.026612058,0
헤이즈,Jenga,3,10,3,R&B/Soul,spring,female,K_POP,Solo,1,2018.4.29,0.544378698,0.105769231,0.41,0.402220914,0,0.56680661,0.734059782,0,0,0,0
황치열,"별, 그대",8,10,6,Ballad,spring,male,K_POP,Solo,1,2018.4.29,0.612426036,0.019230769,1,0.800921981,0,0.660567269,0.828168687,0.250263215,0.042938751,0.021877127,0
효린,달리,9,3,7,Rap/Hiphop,spring,female,K_POP,Solo,1,2018.4.29,0.523668639,0.009615385,0.06,0.056848844,0.84407516,0.477571876,0.45326315,0,0,0,0
