rank_g,you_rank_g,previous_ranking,genre,season,sex,song_type,active_type,title_song,runtime,top_freq,gg_score,nv_score,total_view,season_genre_score,pd_score,dc_total_numb,dc_mean_reccomend,dc_mean_views,drama_view
2,10,2,Dance,summer,female,K_POP,Group,TRUE,0.523668639053255,0.221153846153846,0.2,0.503212800579202,0,0.394525288674247,0.258698004551698,0,0,0,0
2,10,2,Dance,summer,female,K_POP,Group,TRUE,0.523668639053255,0.221153846153846,0.2,0.555770829407738,0,0.394525288674247,0.265166516704467,0,0,0,0
2,10,4,Dance,spring,female,K_POP,Group,TRUE,0.523668639053255,0.221153846153846,0.59,0.77587081039977,0,0.551930308223071,0.344353998842983,0,0,0,0
7,4,6,Dance,fall,female,K_POP,Group,FALSE,0.523668639053255,0.221153846153846,0.58,0.540225427159403,0.831010511836839,0.503168297512131,0.373287456189816,0,0,0,0
4,2,4,Dance,summer,female,K_POP,Group,FALSE,0.523668639053255,0.221153846153846,0.8,1,0.869406212152751,0.394525288674247,0.501078014194522,0,0,0,0
3,2,3,Dance,summer,female,K_POP,Group,TRUE,0.523668639053255,0.221153846153846,0.41,0.450571449671064,0.879448647012509,0.394525288674247,0.277551548391368,0,0,0,0
3,1,2,Dance,summer,female,K_POP,Group,TRUE,0.523668639053255,0.221153846153846,0.3,0.473671547419156,0.88247154370123,0.394525288674247,0.294895127476996,0,0,0,0
2,10,2,Dance,summer,female,K_POP,Group,TRUE,0.523668639053255,0.221153846153846,0.37,0.557431213512033,0,0.394525288674247,0.30573133866415,0,0,0,0
4,1,10,Dance,spring,female,K_POP,Group,TRUE,0.523668639053255,0.221153846153846,0.59,0.905500088466298,0.913401482876968,0.551930308223071,0.408888487775386,0,0,0,0
2,10,2,Dance,spring,female,K_POP,Group,TRUE,0.523668639053255,0.221153846153846,0.4,0.690415910383091,0,0.551930308223071,0.321032687124339,0,0,0,0
10,4,8,Dance,fall,female,K_POP,Group,FALSE,0.523668639053255,0.221153846153846,0.35,0.487807802719603,0.827893775896968,0.503168297512131,0.294895127476996,0,0,0,0
5,2,4,Dance,summer,female,K_POP,Group,FALSE,0.523668639053255,0.221153846153846,0.88,0.908466083961025,0.85549429678881,0.394525288674247,0.365407349042416,0,0,0,0
10,10,10,Dance,winter,female,K_POP,Group,TRUE,0.523668639053255,0.221153846153846,0.25,0.458548266958582,0,0.696853546999652,0.245151152036539,0,0,0,0
4,2,3,Dance,summer,female,K_POP,Group,TRUE,0.523668639053255,0.221153846153846,0.26,0.746851112627784,0.867374773628159,0.394525288674247,0.562337364211053,0,0,0,0
4,2,4,Dance,summer,female,K_POP,Group,TRUE,0.523668639053255,0.221153846153846,0.19,0.589647749808877,0.876794552716528,0.394525288674247,0.377122584012549,0,0,0,0
2,10,2,Dance,spring,female,K_POP,Group,TRUE,0.523668639053255,0.221153846153846,0.23,0.794371989553273,0,0.551930308223071,0.339886230964009,0,0,0,0
