,you_rank_g,previous_ranking,genre,season,sex,song_type,active_type,title_song,runtime,top_freq,gg_score,nv_score,total_view,season_genre_score,pd_score,dc_total_numb,dc_mean_reccomend,dc_mean_views,drama_view
31,5,5,Ballad,spring,male,K_POP,Solo,1,0.659763314,0.307692308,0.27,0.7419660309999999,0.812555383,0.660567269,0.127361065,0.0,0.0,0.0,0.0
32,4,5,Rap/Hiphop,spring,male,K_POP,Group,1,0.582840237,0.673076923,0.24,0.83146246,0.8199961459999999,0.477571876,0.436587303,0.383592056,0.08690279699999999,0.025125001,0.0
33,9,3,Rap/Hiphop,spring,male,K_POP,Project,1,0.553254438,0.076923077,0.37,0.65233852,0.777781306,0.477571876,0.876803517,0.0,0.0,0.0,0.0
34,10,6,Indi,spring,female,K_POP,Solo,1,0.538461538,0.067307692,0.13,0.294895127,0.0,0.513549813,0.7362448,0.0,0.0,0.0,0.0
35,10,6,Ballad,spring,male,K_POP,Group,1,0.624260355,0.644230769,0.36,0.5347854999999999,0.0,0.660567269,0.408888488,0.0,0.0,0.0,0.0
36,3,2,Trot,spring,female,K_POP,Solo,1,0.50887574,0.307692308,0.43,0.230700527,0.83225823,0.535119941,0.607429507,0.319831713,0.063302517,0.011806623999999998,0.0
37,7,6,Dance,spring,female,K_POP,Solo,1,0.5,0.048076923,0.16,0.33988623100000004,0.794921122,0.551930308,0.207039327,0.5021341539999999,0.14772727300000002,0.028593782,0.0
38,10,4,Ballad,spring,female,K_POP,Solo,1,0.671597633,1.0,0.49,0.442289713,0.0,0.660567269,0.542008804,0.0,0.0,0.0,0.0
39,10,6,R&B/Soul,spring,male,K_POP,Solo,1,0.600591716,0.788461538,0.1,0.189695748,0.0,0.56680661,0.258698005,0.0,0.0,0.0,0.0
40,10,7,Drama,spring,female,OST,Solo,1,0.603550296,0.836538462,0.22,0.283488333,0.0,0.613522263,0.778867802,0.0,0.0,0.0,0.0
41,7,2,Rap/Hiphop,spring,male,K_POP,Solo,1,0.529585799,0.375,0.07,0.189695748,0.7903213590000001,0.477571876,0.127361065,0.0,0.0,0.0,0.0
42,5,5,Rap/Hiphop,spring,male,K_POP,Solo,1,0.50295858,0.451923077,0.0,0.395341635,0.8094564940000001,0.477571876,0.913960106,0.0,0.0,0.0,0.0
43,10,5,Ballad,spring,male,K_POP,Solo,1,0.8934911240000001,0.528846154,0.38,0.265166517,0.0,0.660567269,0.697463005,0.047902645,0.005576599000000001,0.033184953999999996,0.0
44,10,9,Ballad,spring,mixed,K_POP,Project,1,0.8402366859999999,0.019230768999999998,0.295,0.542008804,0.0,0.660567269,0.697463005,0.0,0.0,0.0,0.0
45,6,3,Rap/Hiphop,spring,male,K_POP,Solo,1,0.576923077,0.067307692,0.67,0.714138852,0.805970724,0.477571876,0.876803517,0.0,0.0,0.0,0.0
46,2,2,Drama,spring,male,OST,Solo,1,0.74852071,0.567307692,0.71,0.170842204,0.877335832,0.613522263,0.892861163,0.0,0.0,0.0,0.0
47,3,2,Ballad,spring,male,K_POP,Group,1,0.612426036,0.807692308,0.29,0.58821752,0.833838622,0.660567269,0.478486836,0.0,0.0,0.0,0.0
48,7,5,Ballad,spring,male,K_POP,Solo,1,0.621301775,0.355769231,0.66,0.395341635,0.7926698440000001,0.660567269,0.9011428990000001,0.237916358,0.039818268,0.027710387000000003,0.0
49,2,3,Dance,spring,female,K_POP,Solo,1,0.553254438,0.586538462,0.31,0.380891011,0.865062422,0.551930308,0.813456313,0.155470085,0.022127617000000002,0.0075646609999999994,0.0
50,10,4,R&B/Soul,spring,female,K_POP,Solo,1,0.532544379,0.355769231,0.35,0.494544482,0.0,0.56680661,0.258698005,0.0,0.0,0.0,0.0
