,rank_g,you_rank_g,previous_ranking,genre,season,sex,song_type,active_type,title_song,week,artist,runtime,top_freq,gg_score,nv_score,total_view,season_genre_score,pd_score,dc_total_numb,dc_mean_reccomend,dc_mean_views,drama_view,rank_g_pred
24,10,4,10,All,winter,female,K_POP,Group,1,2020.2.23,(여자)아이들,0.547337278106509,0.240384615384615,0.43,0.30573133866415003,0.821218626963371,0.56525771462608,0.480854936714392,0.0,0.0,0.0,0.0,10
25,6,1,7,All,winter,female,K_POP,Group,1,2019.12.29,(여자)아이들,0.547337278106509,0.240384615384615,0.59,0.384595016410646,0.861434535165427,0.56525771462608,0.114976033480779,0.0,0.0,0.0,0.0,7
26,10,5,10,All,spring,female,K_POP,Group,1,2020.3.1,(여자)아이들,0.547337278106509,0.240384615384615,0.6,0.325902084525783,0.818109316015948,0.40323191326894997,0.527313067236237,0.0,0.0,0.0,0.0,10
27,5,2,4,All,winter,female,K_POP,Group,1,2019.12.1,(여자)아이들,0.547337278106509,0.240384615384615,0.64,0.325902084525783,0.861506633440333,0.56525771462608,0.127361065167681,0.0,0.0,0.0,0.0,4
28,10,5,10,All,spring,female,K_POP,Group,1,2020.3.8,(여자)아이들,0.547337278106509,0.240384615384615,0.41,0.271447509100542,0.8123779009049978,0.40323191326894997,0.34873150258179003,0.0,0.0,0.0,0.0,10
29,10,10,10,All,spring,female,K_POP,Group,1,2020.3.22,(여자)아이들,0.547337278106509,0.240384615384615,0.44,0.31605133980289696,0.0,0.40323191326894997,0.384595016410646,0.0,0.0,0.0,0.0,10
30,6,2,5,All,winter,female,K_POP,Group,1,2019.12.8,(여자)아이들,0.547337278106509,0.240384615384615,0.53,0.271447509100542,0.8541912850417269,0.56525771462608,0.20703932682594797,0.0,0.0,0.0,0.0,5
31,3,1,2,All,fall,female,K_POP,Group,1,2019.11.10,(여자)아이들,0.547337278106509,0.240384615384615,0.79,0.39534163526022703,0.899928327899234,0.5216637720663839,0.252030430312962,0.0,0.0,0.0,0.0,2
32,7,1,6,All,winter,female,K_POP,Group,1,2019.12.22,(여자)아이들,0.547337278106509,0.240384615384615,0.45,0.258698004551698,0.8494580280571189,0.56525771462608,0.19854101935810198,0.0,0.0,0.0,0.0,6
33,7,2,6,All,winter,female,K_POP,Group,1,2020.1.12,(여자)아이들,0.547337278106509,0.240384615384615,0.74,0.31605133980289696,0.843776541622751,0.56525771462608,0.30038096644737605,0.0,0.0,0.0,0.0,6
34,10,5,10,All,spring,female,K_POP,Group,1,2020.3.15,(여자)아이들,0.547337278106509,0.240384615384615,0.38,0.252030430312962,0.81148170057337,0.40323191326894997,0.436587303232837,0.0,0.0,0.0,0.0,10
35,10,3,10,All,spring,female,K_POP,Group,1,2020.3.29,(여자)아이들,0.547337278106509,0.240384615384615,0.4,0.380891010567912,0.8391973230978009,0.40323191326894997,0.5135821985186501,0.0,0.0,0.0,0.0,10
36,7,2,7,All,winter,female,K_POP,Group,1,2020.1.19,(여자)아이들,0.547337278106509,0.240384615384615,0.6,0.29489512747699603,0.8377671582656551,0.56525771462608,0.58532842275597,0.0,0.0,0.0,0.0,7
37,2,1,10,All,fall,female,K_POP,Group,1,2019.11.3,(여자)아이들,0.547337278106509,0.240384615384615,0.97,0.503212800579202,0.8893666011177801,0.5216637720663839,0.23804628387473498,0.0,0.0,0.0,0.0,1
38,6,2,6,All,winter,female,K_POP,Group,1,2019.12.15,(여자)아이들,0.547337278106509,0.240384615384615,0.37,0.22309697296612802,0.8481844348678441,0.56525771462608,0.384595016410646,0.0,0.0,0.0,0.0,6
39,7,3,7,All,winter,female,K_POP,Group,1,2020.1.26,(여자)아이들,0.547337278106509,0.240384615384615,0.85,0.31605133980289696,0.8398449276137641,0.56525771462608,0.4247115057764129,0.0,0.0,0.0,0.0,7
40,4,1,3,All,fall,female,K_POP,Group,1,2019.11.24,(여자)아이들,0.547337278106509,0.240384615384615,0.6,0.335324397936896,0.873889649677162,0.5216637720663839,0.480854936714392,0.0,0.0,0.0,0.0,3
41,10,1,10,All,fall,female,K_POP,Group,1,2019.10.27,(여자)아이들,0.547337278106509,0.240384615384615,0.57,0.5053267594476141,0.9158437049968741,0.5216637720663839,0.20703932682594797,0.0,0.0,0.0,0.0,1
42,8,2,7,All,winter,female,K_POP,Group,1,2020.2.2,(여자)아이들,0.547337278106509,0.240384615384615,0.61,0.252030430312962,0.8388706065795111,0.56525771462608,0.580921238986251,0.0,0.0,0.0,0.0,7
43,10,10,10,All,spring,female,K_POP,Group,0,2020.4.19,(여자)아이들,0.547337278106509,0.240384615384615,0.7,0.45854826695858203,0.0,0.40323191326894997,0.0,0.0,0.0,0.0,0.0,10
44,6,1,6,All,winter,female,K_POP,Group,1,2020.1.5,(여자)아이들,0.547337278106509,0.240384615384615,0.58,0.40558034618405,0.8496375600309249,0.56525771462608,0.325902084525783,0.0,0.0,0.0,0.0,6
45,9,3,8,All,winter,female,K_POP,Group,1,2020.2.9,(여자)아이들,0.547337278106509,0.240384615384615,0.51,0.258698004551698,0.8367545473767309,0.56525771462608,0.49232211319683,0.0,0.0,0.0,0.0,8
