,previous_ranking,genre,season,sex,song_type,active_type,runtime,top_freq,gg_score,nv_score,total_view,season_genre_score,pd_score,dc_total_numb,dc_mean_reccomend,dc_mean_views,drama_view,title_song,you_rank_g
0,2,Dance,summer,female,K_POP,Group,203,24,20.0,9.2,0.0,-0.093811857,2.3,0.0,0.0,0.0,0.0,True,10
1,2,Dance,summer,female,K_POP,Group,203,24,20.0,12.0,0.0,-0.093811857,2.4,0.0,0.0,0.0,0.0,True,10
2,4,Dance,spring,female,K_POP,Group,203,24,59.0,34.9,0.0,0.012953573000000001,3.9,0.0,0.0,0.0,0.0,True,10
3,6,Dance,fall,female,K_POP,Group,203,24,58.0,11.1,4310000.0,-0.020120957,4.6,0.0,0.0,0.0,0.0,False,4
4,4,Dance,summer,female,K_POP,Group,203,24,80.0,100.0,8730000.0,-0.093811857,9.1,0.0,0.0,0.0,0.0,False,2
5,3,Dance,summer,female,K_POP,Group,203,24,41.0,7.0,10500000.0,-0.093811857,2.6,0.0,0.0,0.0,0.0,True,2
6,2,Dance,summer,female,K_POP,Group,203,24,30.0,7.9,11100000.0,-0.093811857,2.9,0.0,0.0,0.0,0.0,True,1
7,2,Dance,summer,female,K_POP,Group,203,24,37.0,12.1,0.0,-0.093811857,3.1,0.0,0.0,0.0,0.0,True,10
8,10,Dance,spring,female,K_POP,Group,203,24,59.0,64.3,19600000.0,0.012953573000000001,5.6,0.0,0.0,0.0,0.0,True,1
9,2,Dance,spring,female,K_POP,Group,203,24,40.0,23.2,0.0,0.012953573000000001,3.4,0.0,0.0,0.0,0.0,True,10
10,8,Dance,fall,female,K_POP,Group,203,24,35.0,8.5,4070000.0,-0.020120957,2.9,0.0,0.0,0.0,0.0,False,4
11,4,Dance,summer,female,K_POP,Group,203,24,88.0,65.2,6760000.0,-0.093811857,4.4,0.0,0.0,0.0,0.0,False,2
12,10,Dance,winter,female,K_POP,Group,203,24,25.0,7.3,0.0,0.111252801,2.1,0.0,0.0,0.0,0.0,True,10
13,3,Dance,summer,female,K_POP,Group,203,24,26.0,30.4,8410000.0,-0.093811857,12.4,0.0,0.0,0.0,0.0,True,2
14,4,Dance,summer,female,K_POP,Group,203,24,19.0,14.2,10000000.0,-0.093811857,4.7,0.0,0.0,0.0,0.0,True,2
15,2,Dance,spring,female,K_POP,Group,203,24,23.0,38.1,0.0,0.012953573000000001,3.8,0.0,0.0,0.0,0.0,True,10
16,7,Dance,fall,female,K_POP,Group,203,24,25.0,14.5,3900000.0,-0.020120957,3.1,0.0,0.0,0.0,0.0,False,4
17,3,Dance,summer,female,K_POP,Group,203,24,20.0,7.0,8300000.0,-0.093811857,2.3,0.0,0.0,0.0,0.0,True,2
18,6,Dance,fall,female,K_POP,Group,203,24,53.0,27.4,4640000.0,-0.020120957,100.0,0.0,0.0,0.0,0.0,False,3
