,artist,name,rank_g,previous_ranking,genre,season,sex,song_type,active_type,runtime,top_freq,gg_score,nv_score,total_view,season_genre_score,pd_score,dc_total_numb,dc_mean_reccomend,dc_mean_views,drama_view,title_song,week,you_rank_g
0,(여자)아이들,LATATA,2,2,Dance,summer,female,K_POP,Group,203,24,20.0,9.2,0.0,-0.093811857,2.3,0.0,0.0,0.0,0.0,True,2018.7.1,10
1,(여자)아이들,LATATA,2,2,Dance,summer,female,K_POP,Group,203,24,20.0,12.0,0.0,-0.093811857,2.4,0.0,0.0,0.0,0.0,True,2018.6.24,10
2,(여자)아이들,LATATA,2,4,Dance,spring,female,K_POP,Group,203,24,59.0,34.9,0.0,0.012953573000000001,3.9,0.0,0.0,0.0,0.0,True,2018.5.13,10
3,(여자)아이들,LATATA,7,6,Dance,fall,female,K_POP,Group,203,24,58.0,11.1,4310000.0,-0.020120957,4.6,0.0,0.0,0.0,0.0,False,2018.9.16,4
4,(여자)아이들,LATATA,4,4,Dance,summer,female,K_POP,Group,203,24,80.0,100.0,8730000.0,-0.093811857,9.1,0.0,0.0,0.0,0.0,False,2018.8.12,2
5,(여자)아이들,LATATA,3,3,Dance,summer,female,K_POP,Group,203,24,41.0,7.0,10500000.0,-0.093811857,2.6,0.0,0.0,0.0,0.0,True,2018.7.15,2
6,(여자)아이들,LATATA,3,2,Dance,summer,female,K_POP,Group,203,24,30.0,7.9,11100000.0,-0.093811857,2.9,0.0,0.0,0.0,0.0,True,2018.7.8,1
7,(여자)아이들,LATATA,2,2,Dance,summer,female,K_POP,Group,203,24,37.0,12.1,0.0,-0.093811857,3.1,0.0,0.0,0.0,0.0,True,2018.6.17,10
8,(여자)아이들,LATATA,4,10,Dance,spring,female,K_POP,Group,203,24,59.0,64.3,19600000.0,0.012953573000000001,5.6,0.0,0.0,0.0,0.0,True,2018.5.6,1
9,(여자)아이들,LATATA,2,2,Dance,spring,female,K_POP,Group,203,24,40.0,23.2,0.0,0.012953573000000001,3.4,0.0,0.0,0.0,0.0,True,2018.5.27,10
10,(여자)아이들,LATATA,10,8,Dance,fall,female,K_POP,Group,203,24,35.0,8.5,4070000.0,-0.020120957,2.9,0.0,0.0,0.0,0.0,False,2018.10.7,4
11,(여자)아이들,LATATA,5,4,Dance,summer,female,K_POP,Group,203,24,88.0,65.2,6760000.0,-0.093811857,4.4,0.0,0.0,0.0,0.0,False,2018.8.19,2
12,(여자)아이들,LATATA,10,10,Dance,winter,female,K_POP,Group,203,24,25.0,7.3,0.0,0.111252801,2.1,0.0,0.0,0.0,0.0,True,2018.12.30,10
13,(여자)아이들,LATATA,4,3,Dance,summer,female,K_POP,Group,203,24,26.0,30.4,8410000.0,-0.093811857,12.4,0.0,0.0,0.0,0.0,True,2018.7.29,2
14,(여자)아이들,LATATA,4,4,Dance,summer,female,K_POP,Group,203,24,19.0,14.2,10000000.0,-0.093811857,4.7,0.0,0.0,0.0,0.0,True,2018.8.5,2
15,(여자)아이들,LATATA,2,2,Dance,spring,female,K_POP,Group,203,24,23.0,38.1,0.0,0.012953573000000001,3.8,0.0,0.0,0.0,0.0,True,2018.5.20,10
16,(여자)아이들,LATATA,7,7,Dance,fall,female,K_POP,Group,203,24,25.0,14.5,3900000.0,-0.020120957,3.1,0.0,0.0,0.0,0.0,False,2018.9.23,4
17,(여자)아이들,LATATA,3,3,Dance,summer,female,K_POP,Group,203,24,20.0,7.0,8300000.0,-0.093811857,2.3,0.0,0.0,0.0,0.0,True,2018.7.22,2
18,(여자)아이들,LATATA,6,6,Dance,fall,female,K_POP,Group,203,24,53.0,27.4,4640000.0,-0.020120957,100.0,0.0,0.0,0.0,0.0,False,2018.9.9,3
19,(여자)아이들,LATATA,6,5,Dance,summer,female,K_POP,Group,203,24,62.0,31.8,5620000.0,-0.093811857,3.2,0.0,0.0,0.0,0.0,False,2018.8.26,3
20,(여자)아이들,LATATA,2,2,Dance,summer,female,K_POP,Group,203,24,60.0,30.3,0.0,-0.093811857,3.2,0.0,0.0,0.0,0.0,True,2018.6.3,10
21,(여자)아이들,LATATA,8,7,Dance,fall,female,K_POP,Group,203,24,46.0,8.7,4390000.0,-0.020120957,2.7,0.0,0.0,0.0,0.0,False,2018.9.30,4
22,(여자)아이들,LATATA,6,6,Dance,fall,female,K_POP,Group,203,24,66.0,24.4,5580000.0,-0.020120957,2.8,0.0,0.0,0.0,0.0,False,2018.9.2,3
