rank_g,you_rank_g,previous_ranking,genre,season,sex,song_type,active_type,runtime,top_freq,gg_score,nv_score,total_view,season_genre_score,pd_score,dc_total_numb,dc_mean_reccomend,dc_mean_views,drama_view
4,2,4,댄스,summer,female,K_POP,Group,0.5236686390532544,0.22115384615384615,0.19,0.142,0.10384215991692627,0.39452528860234637,0.032,0,0,0,0
6,3,6,댄스,fall,female,K_POP,Group,0.5236686390532544,0.22115384615384615,0.53,0.27399999999999997,0.04818276220145379,0.5031682970704731,0.027999999999999997,0,0,0,0
3,1,2,댄스,summer,female,K_POP,Group,0.5236686390532544,0.22115384615384615,0.3,0.079,0.11526479750778816,0.39452528860234637,0.021,0,0,0,0
7,4,7,댄스,fall,female,K_POP,Group,0.5236686390532544,0.22115384615384615,0.25,0.145,0.040498442367601244,0.5031682970704731,1,0,0,0,0
2,10,2,댄스,spring,female,K_POP,Group,0.5236686390532544,0.22115384615384615,0.4,0.23199999999999998,0,0.5519303086234274,0.046,0,0,0,0
7,1,6,전체,winter,female,K_POP,Group,0.5473372781065089,0.2403846153846154,0.45,0.023,0.0628245067497404,0.5652577148629683,0.016,0,0,0,0
6,2,5,전체,winter,female,K_POP,Group,0.5473372781065089,0.2403846153846154,0.53,0.025,0.06853582554517133,0.5652577148629683,0.02,0,0,0,0
10,10,10,전체,spring,female,K_POP,Group,0.5473372781065089,0.2403846153846154,0.44,0.033,0,0.4032319132615827,0.022000000000000002,0,0,0,0
10,4,10,전체,winter,female,K_POP,Group,0.5473372781065089,0.2403846153846154,0.43,0.031,0.037383177570093455,0.5652577148629683,0.037000000000000005,0,0,0,0
9,3,8,전체,winter,female,K_POP,Group,0.5473372781065089,0.2403846153846154,0.51,0.023,0.04974039460020768,0.5652577148629683,0.08199999999999999,0,0,0,0
10,4,10,전체,spring,female,K_POP,Group,0.5473372781065089,0.2403846153846154,0.65,0.08199999999999999,0.04039460020768432,0.4032319132615827,0.008,0,0,0,0
7,3,7,전체,winter,female,K_POP,Group,0.5473372781065089,0.2403846153846154,0.85,0.033,0.05264797507788162,0.5652577148629683,0.016,0,0,0,0
3,1,2,전체,fall,female,K_POP,Group,0.5473372781065089,0.2403846153846154,0.79,0.052000000000000005,0.1588785046728972,0.5216637727987733,0.049,0,0,0,0
5,2,4,전체,winter,female,K_POP,Group,0.5473372781065089,0.2403846153846154,0.64,0.035,0.07840083073727934,0.5652577148629683,0.015,0,0,0,0
10,5,10,전체,spring,female,K_POP,Group,0.5473372781065089,0.2403846153846154,0.38,0.022000000000000002,0.031256490134994805,0.4032319132615827,0.006999999999999999,0,0,0,0
7,2,6,전체,winter,female,K_POP,Group,0.5473372781065089,0.2403846153846154,0.74,0.033,0.05659397715472482,0.5652577148629683,0.035,0,0,0,0
10,5,10,전체,spring,female,K_POP,Group,0.5473372781065089,0.2403846153846154,0.6,0.035,0.035306334371754934,0.4032319132615827,0.03,0,0,0,0
8,2,7,전체,winter,female,K_POP,Group,0.5473372781065089,0.2403846153846154,0.61,0.022000000000000002,0.051713395638629284,0.5652577148629683,0.139,0,0,0,0
4,1,3,전체,fall,female,K_POP,Group,0.5473372781065089,0.2403846153846154,0.6,0.037000000000000005,0.09844236760124611,0.5216637727987733,0.061,0,0,0,0
7,2,7,전체,winter,female,K_POP,Group,0.5473372781065089,0.2403846153846154,0.6,0.028999999999999998,0.05067497403946002,0.5652577148629683,0.136,0,0,0,0
10,5,10,전체,spring,female,K_POP,Group,0.5473372781065089,0.2403846153846154,0.41,0.025,0.03177570093457944,0.4032319132615827,0.087,0,0,0,0
3,1,3,전체,fall,female,K_POP,Group,0.5473372781065089,0.2403846153846154,0.55,0.043,0.13811007268951195,0.5216637727987733,0.05,0,0,0,0
6,1,6,전체,winter,female,K_POP,Group,0.5473372781065089,0.2403846153846154,0.58,0.055,0.06303219106957425,0.5652577148629683,0.08199999999999999,0,0,0,0
10,10,10,전체,spring,female,K_POP,Group,0.5473372781065089,0.2403846153846154,0.7,0.073,0,0.4032319132615827,0.10400000000000001,0,0,0,0
6,2,6,전체,winter,female,K_POP,Group,0.5473372781065089,0.2403846153846154,0.37,0.018000000000000002,0.06137071651090343,0.5652577148629683,0.04,0,0,0,0
2,1,10,전체,fall,female,K_POP,Group,0.5473372781065089,0.2403846153846154,0.97,0.092,0.1308411214953271,0.5216637727987733,0.065,0,0,0,0
10,3,10,전체,spring,female,K_POP,Group,0.5473372781065089,0.2403846153846154,0.78,0.124,0.050986500519210796,0.4032319132615827,0.049,0,0,0,0
10,1,10,전체,fall,female,K_POP,Group,0.5473372781065089,0.2403846153846154,0.57,0.09300000000000001,0.21287642782969884,0.5216637727987733,0.09699999999999999,0,0,0,0
10,3,9,전체,winter,female,K_POP,Group,0.5473372781065089,0.2403846153846154,0.59,0.034,0.04558670820353063,0.5652577148629683,0.06,0,0,0,0
6,1,7,전체,winter,female,K_POP,Group,0.5473372781065089,0.2403846153846154,0.59,0.049,0.0782969885773624,0.5652577148629683,0,0,0,0,0
10,3,10,전체,spring,female,K_POP,Group,0.5473372781065089,0.2403846153846154,0.4,0.048,0.052024922118380064,0.4032319132615827,0,0,0,0,0
2,1,10,댄스,spring,female,K_POP,Group,0.5029585798816568,0.019230769230769232,0.78,0.124,0.17237798546209762,0.5519303086234274,0.040999999999999995,0,0,0,0
2,1,2,댄스,spring,female,K_POP,Group,0.5029585798816568,0.019230769230769232,0.65,0.08199999999999999,0.13707165109034267,0.5519303086234274,0.03,0,0,0,0
3,10,2,댄스,spring,female,K_POP,Group,0.5029585798816568,0.019230769230769232,0.7,0.073,0,0.5519303086234274,0.031,0,0,0,0
6,2,5,댄스,spring,female,K_POP,Group,0.5088757396449705,0.125,0.07,0.018000000000000002,0.0778816199376947,0.5519303086234274,0.034,0,0,0,0
10,3,10,댄스,spring,female,K_POP,Group,0.5088757396449705,0.125,0.34,0.015,0.03842159916926272,0.5519303086234274,0.025,0,0,0,0
3,1,2,댄스,spring,female,K_POP,Group,0.5088757396449705,0.125,0.53,0.039,0.15680166147455868,0.5519303086234274,0.036000000000000004,0,0,0,0
9,3,8,댄스,spring,female,K_POP,Group,0.5088757396449705,0.125,0.17,0.019,0.04818276220145379,0.5519303086234274,0.022000000000000002,0,0,0,0
