,artist,name,rank_g,you_rank_g,previous_ranking,genre,season,sex,song_type,active_type,title_song,week,runtime,top_freq,gg_score,nv_score,total_view,season_genre_score,pd_score,dc_total_numb,dc_mean_reccomend,dc_mean_views,drama_view,rank_g_pred
23,"로꼬, 화사",주지마,1,10,1,Ballad,spring,mixed,K_POP,Project,1,2018.5.6,0.609467456,0.586538462,0.345,0.230700527,0.0,0.660567269,0.966419923,0.0,0.0,0.0,0.0,2.2354239781173817
24,로이킴,그때 헤어지면 돼,2,3,2,Ballad,spring,male,K_POP,Solo,1,2018.5.6,0.659763314,0.509615385,0.12,0.127361065,0.8391973229999999,0.660567269,0.730368397,0.34972021799999997,0.073706995,0.029420267000000003,0.0,2.229592552131294
25,마마무,별이 빛나는 밤,1,10,1,Dance,spring,female,K_POP,Group,1,2018.5.6,0.547337278,0.451923077,0.34,0.543777623,0.0,0.551930308,0.734059782,0.19643771,0.030276552,0.014167693,0.0,2.052094797085232
26,먼데이 키즈,가을 안부,4,5,4,Ballad,spring,male,K_POP,Solo,1,2018.5.6,0.819526627,0.788461538,0.73,0.436587303,0.818745559,0.660567269,0.6793959559999999,0.0,0.0,0.0,0.0,3.5131291377982734
27,멜로망스,You,1,1,1,Ballad,spring,male,K_POP,Duet,1,2018.5.6,0.727810651,0.596153846,0.66,0.310952774,0.75672293,0.660567269,0.6755944709999999,0.0,0.0,0.0,0.0,1.370677835586207
28,모모랜드,뿜뿜,2,10,2,Dance,spring,female,K_POP,Group,1,2018.5.6,0.541420118,0.567307692,0.6,0.43945726700000004,0.0,0.551930308,0.665788315,0.0,0.0,0.0,0.0,2.8427704714623303
29,문문,비행운,3,4,3,Indi,spring,male,K_POP,Solo,1,2018.5.6,0.452662722,0.096153846,0.05,0.07290649,0.819530538,0.513549813,0.0,0.0,0.0,0.0,0.0,4.130123355882205
30,박보람,애쓰지 마요,8,10,8,Ballad,spring,female,K_POP,Solo,1,2018.5.6,0.600591716,0.038461537999999997,0.48,0.31605134,0.0,0.660567269,0.730368397,0.0,0.0,0.0,0.0,8.644686587278748
31,박원,all of my life,5,5,5,Ballad,spring,male,K_POP,Solo,1,2018.5.6,0.659763314,0.307692308,0.27,0.7419660309999999,0.812555383,0.660567269,0.127361065,0.0,0.0,0.0,0.0,3.9506850422346815
32,방탄소년단,DNA,5,4,5,Rap/Hiphop,spring,male,K_POP,Group,1,2018.5.6,0.582840237,0.673076923,0.24,0.83146246,0.8199961459999999,0.477571876,0.436587303,0.383592056,0.08690279699999999,0.025125001,0.0,4.511838026826382
33,배연서,북,3,9,3,Rap/Hiphop,spring,male,K_POP,Project,1,2018.5.6,0.553254438,0.076923077,0.37,0.65233852,0.777781306,0.477571876,0.876803517,0.0,0.0,0.0,0.0,4.417188844629123
34,볼빨간사춘기,#첫사랑,6,10,6,Indi,spring,female,K_POP,Solo,1,2018.5.6,0.538461538,0.067307692,0.13,0.294895127,0.0,0.513549813,0.7362448,0.0,0.0,0.0,0.0,5.906138139333365
35,비투비,그리워하다,6,10,6,Ballad,spring,male,K_POP,Group,1,2018.5.6,0.624260355,0.644230769,0.36,0.5347854999999999,0.0,0.660567269,0.408888488,0.0,0.0,0.0,0.0,6.10225623897869
36,빅뱅,꽃 길,2,3,2,Trot,spring,female,K_POP,Solo,1,2018.5.6,0.50887574,0.307692308,0.43,0.230700527,0.83225823,0.535119941,0.607429507,0.319831713,0.063302517,0.011806623999999998,0.0,3.2239272053413686
37,선미,주인공,7,7,6,Dance,spring,female,K_POP,Solo,1,2018.5.6,0.5,0.048076923,0.16,0.33988623100000004,0.794921122,0.551930308,0.207039327,0.5021341539999999,0.14772727300000002,0.028593782,0.0,5.655031487963839
38,아이유,밤편지,4,10,4,Ballad,spring,female,K_POP,Solo,1,2018.5.6,0.671597633,1.0,0.49,0.442289713,0.0,0.660567269,0.542008804,0.0,0.0,0.0,0.0,4.828161749200284
39,양다일,미안해,6,10,6,R&B/Soul,spring,male,K_POP,Solo,1,2018.5.6,0.600591716,0.788461538,0.1,0.189695748,0.0,0.56680661,0.258698005,0.0,0.0,0.0,0.0,5.657569052236816
40,에일리,첫눈처럼 너에게 가겠다,7,10,7,Drama,spring,female,OST,Solo,1,2018.5.6,0.603550296,0.836538462,0.22,0.283488333,0.0,0.613522263,0.778867802,0.0,0.0,0.0,0.0,7.606456313562823
41,용준형,소나기,2,7,2,Rap/Hiphop,spring,male,K_POP,Solo,1,2018.5.6,0.529585799,0.375,0.07,0.189695748,0.7903213590000001,0.477571876,0.127361065,0.0,0.0,0.0,0.0,3.46317909485262
42,우원재,시차,5,5,5,Rap/Hiphop,spring,male,K_POP,Solo,1,2018.5.6,0.50295858,0.451923077,0.0,0.395341635,0.8094564940000001,0.477571876,0.913960106,0.0,0.0,0.0,0.0,4.537935344211434
43,윤종신,좋니,5,10,5,Ballad,spring,male,K_POP,Solo,1,2018.5.6,0.8934911240000001,0.528846154,0.38,0.265166517,0.0,0.660567269,0.697463005,0.047902645,0.005576599000000001,0.033184953999999996,0.0,5.160344906830254
44,"윤종신, 민서",좋아,10,10,9,Ballad,spring,mixed,K_POP,Project,1,2018.5.6,0.8402366859999999,0.019230768999999998,0.295,0.542008804,0.0,0.660567269,0.697463005,0.0,0.0,0.0,0.0,9.496900775794426
45,이병재,전혀,3,6,3,Rap/Hiphop,spring,male,K_POP,Solo,1,2018.5.6,0.576923077,0.067307692,0.67,0.714138852,0.805970724,0.477571876,0.876803517,0.0,0.0,0.0,0.0,4.484190398400671
46,이수,My Way,2,2,2,Drama,spring,male,OST,Solo,1,2018.5.6,0.74852071,0.567307692,0.71,0.170842204,0.877335832,0.613522263,0.892861163,0.0,0.0,0.0,0.0,1.934232413739494
47,장덕철,그날처럼,2,3,2,Ballad,spring,male,K_POP,Group,1,2018.5.6,0.612426036,0.807692308,0.29,0.58821752,0.833838622,0.660567269,0.478486836,0.0,0.0,0.0,0.0,2.599656382174004
48,정승환,눈사람,5,7,5,Ballad,spring,male,K_POP,Solo,1,2018.5.6,0.621301775,0.355769231,0.66,0.395341635,0.7926698440000001,0.660567269,0.9011428990000001,0.237916358,0.039818268,0.027710387000000003,0.0,4.261031383453002
49,청하,Roller Coaster,2,2,3,Dance,spring,female,K_POP,Solo,1,2018.5.6,0.553254438,0.586538462,0.31,0.380891011,0.865062422,0.551930308,0.813456313,0.155470085,0.022127617000000002,0.0075646609999999994,0.0,3.3427844823007433
50,펀치,밤이 되니까,4,10,4,R&B/Soul,spring,female,K_POP,Solo,1,2018.5.6,0.532544379,0.355769231,0.35,0.494544482,0.0,0.56680661,0.258698005,0.0,0.0,0.0,0.0,5.115978659187448
51,포맨,눈 떠보니 이별이더라,6,5,6,Ballad,spring,male,K_POP,Duet,1,2018.5.6,0.76035503,0.096153846,0.28,0.9400831590000001,0.810201686,0.660567269,0.35302231700000003,0.0,0.0,0.0,0.0,4.780318638484147
52,폴킴,"모든 날, 모든 순간",3,3,3,Drama,spring,male,OST,Solo,1,2018.5.6,0.547337278,1.0,0.14,0.330664453,0.8325043759999999,0.613522263,0.7296225129999999,0.0,0.0,0.0,0.0,3.8904334895210866
53,헤이즈,Jenga,3,10,3,R&B/Soul,spring,female,K_POP,Solo,1,2018.5.6,0.5443786979999999,0.10576923099999999,0.26,0.35302231700000003,0.0,0.56680661,0.7426706790000001,0.0,0.0,0.0,0.0,3.729795506186406
54,황치열,"별, 그대",8,10,8,Ballad,spring,male,K_POP,Solo,1,2018.5.6,0.612426036,0.019230768999999998,0.91,0.978596107,0.0,0.660567269,0.860687584,0.131758517,0.017921882,0.012750533,0.0,8.575877717808659
55,휘인,EASY,9,10,8,R&B/Soul,spring,female,K_POP,Solo,1,2018.5.6,0.48224852100000004,0.019230768999999998,0.33,0.127361065,0.0,0.56680661,0.734059782,0.0,0.0,0.0,0.0,9.082668402456033
56,GroovyRoom,My Paradise,8,10,4,Rap/Hiphop,spring,male,K_POP,Group,1,2018.5.6,0.529585799,0.019230768999999998,0.93,0.769127778,0.0,0.477571876,0.781823906,0.0,0.0,0.0,0.0,6.601154756326643
57,멜로망스,욕심,1,10,1,Indi,spring,male,K_POP,Duet,1,2018.5.6,0.636094675,0.16346153800000002,0.66,0.310952774,0.0,0.513549813,0.8035937670000001,0.0,0.0,0.0,0.0,2.302256466977468
58,박효신,별 시,3,5,1,Ballad,spring,male,K_POP,Solo,1,2018.5.6,0.75739645,0.028846154,0.29,0.18047397,0.811662126,0.660567269,0.34435399899999997,0.26285089899999997,0.046263095,0.09914582599999999,0.0,3.8760775784178634
59,여자친구,밤,1,1,1,Dance,spring,female,K_POP,Group,1,2018.5.6,0.594674556,0.384615385,0.38,0.699189541,0.944159813,0.551930308,0.238046284,0.30991955,0.060087164000000005,0.013969613,0.0,1.1279376295731538
60,윤건,우리 둘만 아는,8,10,10,Ballad,spring,male,K_POP,Solo,1,2018.5.6,0.535502959,0.115384615,0.44,0.944562473,0.0,0.660567269,0.939800104,0.0,0.0,0.0,0.0,9.900027326379488
61,크러쉬,잊을만하면,1,3,2,R&B/Soul,spring,male,K_POP,Solo,1,2018.5.6,0.624260355,0.144230769,0.86,0.841053616,0.8386517,0.56680661,0.40558034600000004,0.0,0.0,0.0,0.0,3.022439707736936
62,펜타곤,빛나리,5,10,9,Dance,spring,male,K_POP,Group,1,2018.5.6,0.51183432,0.125,0.58,0.562337364,0.0,0.551930308,0.408888488,0.221798286,0.035943854,0.012559168999999999,0.0,9.477502058041681
63,(여자)아이들,LATATA,4,1,nan,Dance,spring,female,K_POP,Group,1,2018.5.6,0.5236686389999999,0.22115384600000002,0.59,0.9055000879999999,0.913401483,0.551930308,0.408888488,0.0,0.0,0.0,0.0,6.073677929879793
64,김나영,우리 서로,10,10,nan,Ballad,spring,female,K_POP,Solo,1,2018.5.6,0.624260355,0.028846154,0.09,0.114976033,0.0,0.660567269,0.48085493700000004,0.0,0.0,0.0,0.0,8.60617443024217
65,빈첸,SINKING DOWN WITH U,8,2,nan,Rap/Hiphop,spring,male,K_POP,Solo,1,2018.5.6,0.426035503,0.009615385,0.32,0.513582199,0.8437765420000001,0.477571876,0.265166517,0.0,0.0,0.0,0.0,7.69315290808629
66,케이윌,너란 별,10,7,nan,Ballad,spring,male,K_POP,Solo,1,2018.5.6,0.532544379,0.0,0.12,0.418520254,0.790852077,0.660567269,0.13907629999999999,0.055782809,0.006587615,0.006147225,0.0,8.411426355916689
67,헤이즈,비도 오고 그래서,5,10,5,Rap/Hiphop,spring,female,K_POP,Solo,0,2018.5.6,0.529585799,0.682692308,0.26,0.35302231700000003,0.0,0.477571876,0.876803517,0.0,0.0,0.0,0.0,5.240543017368651
68,레드벨벳,빨간 맛,6,10,6,Dance,spring,female,K_POP,Group,0,2018.5.6,0.48816568,0.43269230799999997,0.27,0.6021119629999999,0.0,0.551930308,0.7296225129999999,0.081800533,0.01013238,0.008000284,0.0,5.53269058516846
69,Wanna One,에너제틱,7,10,7,Dance,spring,male,K_POP,Group,0,2018.5.6,0.48224852100000004,0.44230769200000003,0.6,0.866326391,0.0,0.551930308,0.770987695,0.0,0.0,0.0,0.0,7.447817493641324
70,멜로망스,선물,2,5,2,Indi,spring,male,K_POP,Duet,0,2018.5.6,0.695266272,0.961538462,0.66,0.310952774,0.818745559,0.513549813,0.8035937670000001,0.0,0.0,0.0,0.0,3.076597926321739
71,박원,노력,7,10,8,Ballad,spring,male,K_POP,Solo,0,2018.5.6,0.701183432,0.16346153800000002,0.27,0.7419660309999999,0.0,0.660567269,0.127361065,0.0,0.0,0.0,0.0,8.163351071881799
72,방탄소년단,봄날,6,10,6,Dance,spring,male,K_POP,Group,0,2018.5.6,0.733727811,1.0,0.24,0.83146246,0.0,0.551930308,0.436587303,0.383592056,0.08690279699999999,0.025125001,0.0,5.532467312091761
73,김하온,바코드,2,4,2,Rap/Hiphop,spring,male,K_POP,Project,0,2018.5.6,0.582840237,0.115384615,0.0,0.9097713829999999,0.819217904,0.477571876,0.876803517,0.0,0.0,0.0,0.0,3.6950652952321263
74,EXO-CBX,Playdate,10,10,10,Dance,spring,male,K_POP,Group,0,2018.5.6,0.547337278,0.019230768999999998,0.95,0.46370753600000003,0.0,0.551930308,0.7296225129999999,0.0,0.0,0.0,0.0,9.835617160529189
75,TWICE,Heart Shaker,5,2,5,Dance,spring,female,K_POP,Group,0,2018.5.6,0.476331361,0.25,0.63,0.618937294,0.8443721479999999,0.551930308,0.529205473,0.0,0.0,0.0,0.0,3.802045225429424
76,TWICE,LIKEY,6,10,5,Dance,spring,female,K_POP,Group,0,2018.5.6,0.538461538,0.115384615,0.63,0.618937294,0.0,0.551930308,0.529205473,0.0,0.0,0.0,0.0,5.328768002457757
77,Wanna One,Beautiful,8,10,7,Ballad,spring,male,K_POP,Group,0,2018.5.6,0.50591716,0.394230769,0.6,0.866326391,0.0,0.660567269,0.770987695,0.0,0.0,0.0,0.0,7.325677171855091
78,Wanna One,약속해요,8,8,7,Dance,spring,male,K_POP,Group,0,2018.5.6,0.576923077,0.173076923,0.6,0.866326391,0.787023494,0.551930308,0.770987695,0.0,0.0,0.0,0.0,7.22907723373595
79,WINNER,AIR,10,10,9,Dance,spring,male,K_POP,Group,0,2018.5.6,0.588757396,0.019230768999999998,0.78,0.9790692059999999,0.0,0.551930308,0.607429507,0.0,0.0,0.0,0.0,9.463715796561784
80,WINNER,REALLY REALLY,6,10,6,Dance,spring,male,K_POP,Group,0,2018.5.6,0.5236686389999999,0.25,0.78,0.9790692059999999,0.0,0.551930308,0.607429507,0.0,0.0,0.0,0.0,5.472906441331894
81,길구봉구,바람이 불었으면 좋겠어,9,10,9,R&B/Soul,spring,male,K_POP,Group,0,2018.5.6,0.609467456,0.028846154,0.45,0.515597832,0.0,0.56680661,0.7589292329999999,0.0,0.0,0.0,0.0,9.507311788315976
82,김하온,Adios,9,10,8,Rap/Hiphop,spring,male,K_POP,Solo,0,2018.5.6,0.46153846200000004,0.019230768999999998,0.0,0.9097713829999999,0.0,0.477571876,0.876803517,0.0,0.0,0.0,0.0,8.704230612511488
83,김하온,어린 왕자,3,6,3,Rap/Hiphop,spring,male,K_POP,Project,0,2018.5.6,0.40828402399999997,0.067307692,0.0,0.9097713829999999,0.8051648109999999,0.477571876,0.876803517,0.0,0.0,0.0,0.0,4.377469122705548
84,닐로,넋두리,3,2,4,Ballad,spring,male,K_POP,Solo,0,2018.5.6,0.8313609470000001,0.528846154,0.66,0.48319743600000004,0.843476275,0.660567269,0.0,0.0,0.0,0.0,0.0,3.5248387639304894
85,레드벨벳,피카부,9,4,8,Dance,spring,female,K_POP,Group,0,2018.5.6,0.48224852100000004,0.019230768999999998,0.27,0.6021119629999999,0.82061082,0.551930308,0.7296225129999999,0.081800533,0.01013238,0.008000284,0.0,8.665612786025076
86,멜로망스,짙어져,7,10,7,Drama,spring,male,OST,Duet,0,2018.5.6,0.74556213,0.057692308,0.66,0.310952774,0.0,0.613522263,0.79437199,0.0,0.0,0.0,0.0,8.730993639166666
87,문문,결혼,6,3,6,Drama,spring,male,OST,Solo,0,2018.5.6,0.526627219,0.057692308,0.05,0.07290649,0.827221355,0.613522263,0.876803517,0.0,0.0,0.0,0.0,5.555141865423565
88,방탄소년단,고민보다 Go,10,10,10,Rap/Hiphop,spring,male,K_POP,Group,0,2018.5.6,0.621301775,0.009615385,0.24,0.83146246,0.0,0.477571876,0.436587303,0.383592056,0.08690279699999999,0.025125001,0.0,9.890885932335939
89,배연서,Like It,8,10,7,All,spring,mixed,K_POP,Group,0,2018.5.6,0.5739644970000001,0.028846154,0.37,0.65233852,0.0,0.403231913,0.876803517,0.0,0.0,0.0,0.0,9.186596996941603
90,배연서,이로한,5,10,4,Rap/Hiphop,spring,male,K_POP,Project,0,2018.5.6,0.553254438,0.038461537999999997,0.37,0.65233852,0.0,0.477571876,0.876803517,0.0,0.0,0.0,0.0,6.4123656095109425
91,볼빨간사춘기,나의 사춘기에게,10,10,10,Indi,spring,female,K_POP,Solo,0,2018.5.6,0.582840237,0.384615385,0.13,0.294895127,0.0,0.513549813,0.436587303,0.0,0.0,0.0,0.0,9.928108733420913
92,볼빨간사춘기,썸 탈꺼야,8,10,7,Indi,spring,female,K_POP,Solo,0,2018.5.6,0.45857988200000005,0.086538462,0.13,0.294895127,0.0,0.513549813,0.436587303,0.0,0.0,0.0,0.0,7.812770511427772
93,빈첸,그대들은 어떤 기분이신가요,9,10,nan,Rap/Hiphop,spring,male,K_POP,Solo,0,2018.5.6,0.7781065090000001,0.0,0.32,0.513582199,0.0,0.477571876,0.265166517,0.0,0.0,0.0,0.0,8.506341507535424
94,아이유,팔레트,10,10,10,Ballad,spring,female,K_POP,Solo,0,2018.5.6,0.568047337,0.182692308,0.49,0.442289713,0.0,0.660567269,0.542008804,0.0,0.0,0.0,0.0,9.919475628053922
95,용준형,무슨 말이 필요해,4,8,nan,Dance,spring,male,K_POP,Solo,0,2018.5.6,0.529585799,0.019230768999999998,0.07,0.189695748,0.782598444,0.551930308,0.127361065,0.0,0.0,0.0,0.0,8.202065164497242
96,이병재,탓,7,10,5,Rap/Hiphop,spring,male,K_POP,Solo,0,2018.5.6,0.541420118,0.038461537999999997,0.67,0.714138852,0.0,0.477571876,0.876803517,0.0,0.0,0.0,0.0,6.6717954684338565
97,폴킴,비,9,10,10,R&B/Soul,spring,male,K_POP,Solo,0,2018.5.6,0.627218935,0.9807692309999999,0.14,0.330664453,0.0,0.56680661,0.373287456,0.0,0.0,0.0,0.0,9.918421387322724
98,헤이즈,내가 더 나빠,7,10,6,R&B/Soul,spring,female,K_POP,Solo,0,2018.5.6,0.627218935,0.038461537999999997,0.26,0.35302231700000003,0.0,0.56680661,0.7426706790000001,0.0,0.0,0.0,0.0,7.105404550429533
99,황치열,매일 듣는 노래,10,10,nan,Ballad,spring,male,K_POP,Solo,0,2018.5.6,0.689349112,0.0,0.91,0.978596107,0.0,0.660567269,0.860687584,0.131758517,0.017921882,0.012750533,0.0,8.50441149354294
100,10cm,폰서트,10,8,10,Indi,spring,male,K_POP,Solo,1,2018.5.13,0.50887574,0.240384615,0.32,0.485514881,0.7931782409999999,0.513549813,0.7740525140000001,0.0,0.0,0.0,0.0,9.694219409581592
101,BLACKPINK,마지막처럼,8,2,7,Dance,spring,female,K_POP,Group,1,2018.5.13,0.553254438,0.317307692,0.07,0.5115476379999999,0.8473496640000001,0.551930308,0.680335997,0.0,0.0,0.0,0.0,7.177732280327319
102,Camila Cabello,Havana,3,6,3,Pop,spring,female,POP,Solo,1,2018.5.13,0.565088757,0.8557692309999999,0.33,0.871045541,0.812555383,0.529332838,0.0,0.0,0.0,0.0,0.0,4.16325294560275
103,Carla Bruni,Stand By Your Man,9,10,8,Pop,spring,female,POP,Solo,1,2018.5.13,0.40828402399999997,0.038461537999999997,0.41,0.85781218,0.0,0.529332838,0.81946166,0.0,0.0,0.0,0.0,8.817626046334723
104,DEAN,instagram,6,9,4,R&B/Soul,spring,male,K_POP,Solo,1,2018.5.13,0.680473373,0.25,0.48,0.8041241929999999,0.787866892,0.56680661,0.0,0.0,0.0,0.0,0.0,4.234830610343835
105,Ed Sheeran,Shape of You,5,10,4,Pop,spring,male,POP,Solo,1,2018.5.13,0.615384615,1.0,0.51,0.867120088,0.0,0.529332838,0.0,0.0,0.0,0.0,0.0,4.885436517007008
106,EXO-CBX,花요일,6,7,4,Dance,spring,male,K_POP,Group,1,2018.5.13,0.514792899,0.125,0.0,0.421637992,0.7973179029999999,0.551930308,0.739838233,0.0,0.0,0.0,0.0,4.637277638217057
