,name,production,distributor,artist,time,score,rank,genre,runtime,sex,active_type
0,사랑에 연습이 있었다면 ,"엔에스씨컴퍼니, 디원미디어",카카오 M,임재현,2019.06.02~2019.06.08,44009459,1,가요 / 발라드,04:16,남성,솔로
1,누구 없소 ,YG Entertainment,YG Plus,이하이,2019.06.02~2019.06.08,43074538,2,가요 / 댄스,03:15,여성,솔로
2,2002,Atlantic Records UK,Warner Music,Anne-Marie,2019.06.02~2019.06.08,41877109,3,POP / 팝,03:07,여성,솔로
3,너에게 못했던 내 마지막 말은,Stone Music Entertainment,지니뮤직,다비치,2019.06.02~2019.06.08,38165624,4,가요 / 발라드,04:28,여성,듀엣
4,bad guy,"Darkroom, Interscope Records",Universal Music,Billie Eilish,2019.06.02~2019.06.08,33544212,5,POP / 락,03:14,여성,솔로
5,작은 것들을 위한 시 ,빅히트 엔터테인먼트,Dreamus,방탄소년단,2019.06.02~2019.06.08,32741579,6,가요 / 랩/힙합,03:50,남성,그룹
6,주저하는 연인들을 위해,페포니 뮤직,카카오 M,잔나비,2019.06.02~2019.06.08,28586209,7,가요 / 인디,04:25,남성,밴드
7,FANCY,JYP Entertainment,Dreamus,TWICE,2019.06.02~2019.06.08,25750142,8,가요 / 댄스,03:34,여성,그룹
8,Goodbye,글러브엔터테인먼트,카카오 M,박효신,2019.06.02~2019.06.08,23823214,9,가요 / 발라드,04:48,남성,솔로
9,노래방에서,버스커버스커,카카오 M,장범준,2019.06.02~2019.06.08,23558147,10,가요 / 락,04:00,남성,솔로
10,사계 ,SM Entertainment,Dreamus,태연 ,2019.06.02~2019.06.08,23489456,11,가요 / 발라드,03:08,여성,솔로
11,AH YEAH ,YG Entertainment,YG Plus,WINNER,2019.06.02~2019.06.08,23150646,12,가요 / 댄스,02:57,남성,그룹
12,"나만, 봄",쇼파르뮤직,카카오 M,볼빨간사춘기,2019.06.02~2019.06.08,22109270,13,가요 / 인디,03:37,여성,솔로
13,그때가 좋았어,넥스타엔터테인먼트,카카오 M,케이시 ,2019.06.02~2019.06.08,20751878,14,가요 / 발라드,03:55,여성,솔로
14,대충 입고 나와,인디안레이블,지니뮤직,우디,2019.06.02~2019.06.08,19930459,15,가요 / 인디,03:26,남성,솔로
15,Kill This Love,YG Entertainment,YG Plus,BLACKPINK,2019.06.02~2019.06.08,19678247,16,가요 / 랩/힙합,03:09,여성,그룹
16,사랑이 식었다고 말해도 돼,먼데이키즈 컴퍼니,카카오 M,먼데이 키즈 ,2019.06.02~2019.06.08,18866135,17,가요 / 발라드,03:41,남성,솔로
17,옥탑방,FNC엔터테인먼트,카카오 M,엔플라잉 ,2019.06.02~2019.06.08,17728565,18,가요 / 락,03:31,남성,밴드
18,"모든 날, 모든 순간 ",SM Entertainment,Dreamus,폴킴,2019.06.02~2019.06.08,17279186,19,OST / 드라마,03:31,남성,솔로
19,사계 ,325 이엔씨,카카오 M,엠씨더맥스 ,2019.06.02~2019.06.08,17186896,20,가요 / 발라드,04:17,남성,밴드
20,달라달라,JYP Entertainment,Dreamus,ITZY ,2019.06.02~2019.06.08,17169233,21,가요 / 댄스,03:20,여성,그룹
21,사월이 지나면 우리 헤어져요 ,SM Entertainment,Dreamus,첸 ,2019.06.02~2019.06.08,16700585,22,가요 / 발라드,04:30,남성,솔로
22,별 보러 갈래?,쇼파르뮤직,카카오 M,볼빨간사춘기,2019.06.02~2019.06.08,15824063,23,가요 / 인디,03:21,여성,솔로
23,너를 만나,뉴런뮤직,카카오 M,폴킴,2019.06.02~2019.06.08,15669404,24,가요 / 발라드,04:41,남성,솔로
24,교통정리 ,린치핀뮤직,카카오 M,기리보이,2019.06.02~2019.06.08,15591923,25,가요 / 랩/힙합,03:18,남성,솔로
25,Paris In The Rain,뮤직테이블,NHN벅스,Lauv,2019.06.02~2019.06.08,15043761,26,POP / 팝,03:25,남성,솔로
26,당신과는 천천히,버스커버스커,카카오 M,장범준,2019.06.02~2019.06.08,15012276,27,가요 / 락,04:00,남성,솔로
27,넘쳐흘러,325 이엔씨,카카오 M,엠씨더맥스 ,2019.06.02~2019.06.08,14658629,28,가요 / 발라드,04:07,남성,밴드
28,벌써 12시,MNH Entertainment,"지니뮤직, Stone Music Entertainment",청하,2019.06.02~2019.06.08,13781150,29,가요 / 댄스,03:42,여성,솔로
29,비가 오잖아,"스타쉽엔터테인먼트, 로맨틱팩토리",카카오 M,소유 ,2019.06.02~2019.06.08,13624842,30,가요 / R&B/소울,03:44,혼성,프로젝트
30,사랑하긴 했었나요 스쳐가는 인연이었나요 짧지않은 우리 함께했던 시간들...,페포니 뮤직,지니뮤직,잔나비,2019.06.02~2019.06.08,13378785,31,가요 / 인디,03:22,남성,밴드
31,뜨거운 여름밤은 가고 남은 건 볼품없지만,페포니 뮤직,카카오 M,잔나비,2019.06.02~2019.06.08,13375818,32,가요 / 발라드,04:03,남성,밴드
32,소우주 ,빅히트 엔터테인먼트,Dreamus,방탄소년단,2019.06.02~2019.06.08,13293466,33,가요 / 랩/힙합,03:44,남성,그룹
33,봄날,빅히트 엔터테인먼트,Dreamus,방탄소년단,2019.06.02~2019.06.08,12599042,34,가요 / 댄스,04:34,남성,그룹
34,Speechless ,"Disney Enterprises,Inc.",Universal Music,Naomi Scott,2019.06.02~2019.06.08,12570930,35,OST / 해외영화,03:29,여성,솔로
35,Way Back Home,디씨톰엔터테인먼트,Warner Music,숀 ,2019.06.02~2019.06.08,12565448,36,가요 / 일렉트로니카,03:34,남성,솔로
36,그건 아마 우리의 잘못은 아닐 거야,JYP Entertainment,Dreamus,백예린,2019.06.02~2019.06.08,12196734,37,가요 / R&B/소울,03:53,여성,솔로
37,이 노래가 클럽에서 나온다면,인디안레이블,지니뮤직,우디,2019.06.02~2019.06.08,11950215,38,가요 / 인디,03:39,남성,솔로
38,다섯 번째 계절 ,WM엔터테인먼트,카카오 M,오마이걸 ,2019.06.02~2019.06.08,11937739,39,가요 / 댄스,04:00,여성,그룹
39,오늘 밤에,뮤직K,카카오 M,홍진영,2019.06.02~2019.06.08,11859230,40,가요 / 트로트,03:01,여성,솔로
40,진심이 담긴 노래 ,넥스타엔터테인먼트,카카오 M,케이시 ,2019.06.02~2019.06.08,11721053,41,가요 / 발라드,04:31,여성,솔로
41,7 rings,"Republic Records, a division of UMG Recordings,Inc",Universal Music,Ariana Grande,2019.06.02~2019.06.08,11583712,42,POP / 팝,02:59,여성,솔로
42,Make It Right,빅히트 엔터테인먼트,Dreamus,방탄소년단,2019.06.02~2019.06.08,11342324,43,가요 / 랩/힙합,03:46,남성,그룹
43,A Whole New World,"Disney Enterprises,Inc.",Universal Music,"Mena Massoud, Naomi Scott",2019.06.02~2019.06.08,11229722,44,OST / 해외영화,02:56,혼성,그룹
44,신용재,인디안레이블,지니뮤직,하은 ,2019.06.02~2019.06.08,11073195,45,가요 / 발라드,03:34,남성,솔로
45,돈 Call Me ,"딩고뮤직, 염따",Dreamus,염따 ,2019.06.02~2019.06.08,11072841,46,가요 / 랩/힙합,02:46,남성,솔로
46,IDOL,빅히트 엔터테인먼트,Dreamus,방탄소년단,2019.06.02~2019.06.08,11051835,47,가요 / 랩/힙합,03:43,남성,그룹
47,비올레타,"Stone Music Entertainment, OFF THE RECORD Entertainment",지니뮤직,IZ*ONE ,2019.06.02~2019.06.08,10995384,48,가요 / 댄스,03:21,여성,그룹
48,멍청이,RBW,카카오 M,화사,2019.06.02~2019.06.08,10927835,49,가요 / 댄스,03:11,여성,솔로
49,180도,메이저나인,지니뮤직,벤 ,2019.06.02~2019.06.08,10922650,50,가요 / 발라드,03:49,여성,솔로
50,고고베베 ,RBW,카카오 M,마마무 ,2019.06.02~2019.06.08,10809240,51,가요 / 댄스,03:16,여성,그룹
51,술이 달다 ,OURS Co.,카카오 M,에픽하이 ,2019.06.02~2019.06.08,10667953,52,가요 / 랩/힙합,04:11,남성,그룹
52,초록빛,뉴런뮤직,카카오 M,폴킴,2019.06.02~2019.06.08,10361362,53,가요 / 발라드,03:46,남성,솔로
53,니 소식,더하기미디어,카카오 M,송하예,2019.06.02~2019.06.08,10345049,54,가요 / 발라드,04:00,여성,솔로
54,YES or YES,JYP Entertainment,Dreamus,TWICE,2019.06.02~2019.06.08,10266717,55,가요 / 댄스,03:58,여성,그룹
55,비,뉴런뮤직,카카오 M,폴킴,2019.06.02~2019.06.08,10233007,56,가요 / R&B/소울,03:58,남성,솔로
56,"thank u, next","Republic Records, a division of UMG Recordings,Inc",Universal Music,Ariana Grande,2019.06.02~2019.06.08,10139143,57,POP / 팝,03:27,여성,솔로
57,이별하러 가는 길,모스트웍스,카카오 M,임한별,2019.06.02~2019.06.08,10113731,58,가요 / 발라드,05:07,남성,솔로
58,눈 ,Stone Music Entertainment,지니뮤직,강현준 ,2019.06.02~2019.06.08,10013362,59,가요 / 전체,03:25,혼성,그룹
59,신청곡 ,에르타알레,NHN벅스,이소라,2019.06.02~2019.06.08,9944680,60,가요 / 발라드,04:41,여성,솔로
60,comethru,Universal Music,Universal Music,Jeremy Zucker,2019.06.02~2019.06.08,9848314,61,POP / 팝,03:02,남성,솔로
61,내 생에 아름다운,"뮤직앤뉴, 스튜디오앤뉴",뮤직앤뉴,케이윌 ,2019.06.02~2019.06.08,9782118,62,OST / 드라마,04:01,남성,솔로
62,Dionysus,빅히트 엔터테인먼트,Dreamus,방탄소년단,2019.06.02~2019.06.08,9769119,63,가요 / 랩/힙합,04:09,남성,그룹
63,봄 ,디네이션,NHN벅스,박봄,2019.06.02~2019.06.08,9762312,64,가요 / R&B/소울,04:03,여성,솔로
64,지나오다,닐로 컴퍼니,퍼플파인 엔터테인먼트,닐로 ,2019.06.02~2019.06.08,9760477,65,가요 / 발라드,04:41,남성,솔로
65,SOLO,YG Entertainment,YG PLUS,제니 ,2019.06.02~2019.06.08,9720430,66,가요 / 랩/힙합,02:50,여성,솔로
66,고백,브랜뉴뮤직,카카오 M,양다일,2019.06.02~2019.06.08,9689244,67,가요 / 발라드,03:31,남성,솔로
67,삐삐,카카오 M,카카오 M,아이유 ,2019.06.02~2019.06.08,9632582,68,가요 / R&B/소울,03:15,여성,솔로
68,밤편지,"페이브엔터테인먼트,카카오 M",카카오 M,아이유 ,2019.06.02~2019.06.08,9632529,69,가요 / 발라드,04:13,여성,솔로
69,띵 ,"인디고뮤직, 딩고뮤직",카카오 M,"Jvcki Wai, Young B, Osshun Gum, 한요한",2019.06.02~2019.06.08,9613042,70,POP / 랩/힙합,02:57,남성,솔로
70,너도 그냥 날 놓아주면 돼,센토엔터테인먼트,지니뮤직,윤건,2019.06.02~2019.06.08,9364546,71,가요 / 발라드,04:09,남성,솔로
71,여행,쇼파르뮤직,카카오 M,볼빨간사춘기,2019.06.02~2019.06.08,8879009,72,가요 / 인디,03:41,여성,솔로
72,열애중,메이저나인,지니뮤직,벤 ,2019.06.02~2019.06.08,8753462,73,가요 / 발라드,04:31,여성,솔로
73,너는 어땠을까,씨제스엔터테인먼트,카카오 M,노을,2019.06.02~2019.06.08,8626284,74,가요 / 발라드,04:22,남성,그룹
74,안녕하세요,스윙엔터테인먼트,"지니뮤직, Stone Music Entertainment",김재환,2019.06.02~2019.06.08,8407710,75,가요 / 발라드,03:53,남성,솔로
75,아낙네,YG Entertainment,YG PLUS,송민호,2019.06.02~2019.06.08,8361005,76,가요 / 랩/힙합,03:28,남성,솔로
76,MILLIONS,YG Entertainment,YG PLUS,WINNER,2019.06.02~2019.06.08,8284019,77,가요 / 댄스,03:28,남성,그룹
77,Dance The Night Away,JYP Entertainment,Dreamus,TWICE,2019.06.02~2019.06.08,8281814,78,가요 / 댄스,03:01,여성,그룹
78,이 밤,브랜뉴뮤직,카카오 M,양다일,2019.06.02~2019.06.08,8254770,79,가요 / 발라드,03:47,남성,솔로
79,HOME,빅히트 엔터테인먼트,Dreamus,방탄소년단,2019.06.02~2019.06.08,8248262,80,가요 / 랩/힙합,03:54,남성,그룹
80,She ,페포니 뮤직,카카오 M,잔나비,2019.06.02~2019.06.08,8071055,81,가요 / 인디,03:14,남성,밴드
81,Love Shot,SM Entertainment,Dreamus,EXO,2019.06.02~2019.06.08,8021632,82,가요 / 댄스,03:20,남성,그룹
82,오월의 어느 봄날 ,모스트웍스,카카오 M,임한별,2019.06.02~2019.06.08,8020704,83,가요 / 발라드,04:13,남성,솔로
83,흔한 이별,플레이엠엔터테인먼트,카카오 M,허각,2019.06.02~2019.06.08,7822614,84,가요 / 발라드,04:12,남성,솔로
84,사랑에 연습이 있었다면 ,"꿈의엔진, 디원미디어",카카오 M,히키,2019.06.02~2019.06.08,7749948,85,가요 / 인디,04:14,여성,솔로
85,I Don`t Care,Atlantic Records UK,Warner Music,"Ed Sheeran, Justin Bieber",2019.06.02~2019.06.08,7728840,86,POP / 팝,03:40,남성,프로젝트
86,Don`t Know What To Do,YG Entertainment,YG Plus,BLACKPINK,2019.06.02~2019.06.08,7606007,87,가요 / 댄스,03:21,여성,그룹
87,Jamais Vu,빅히트 엔터테인먼트,Dreamus,방탄소년단,2019.06.02~2019.06.08,7384160,88,가요 / 랩/힙합,03:47,남성,그룹
88,Gloomy Star ,에어뮤직,Warner Music,공기남,2019.06.02~2019.06.08,7027741,89,가요 / 인디,03:07,남성,솔로
89,FRIENDS,Atlantic Records UK,Warner Music,"Marshmello, Anne-Marie",2019.06.02~2019.06.08,6913302,90,POP / 팝,03:23,혼성,프로젝트
90,있어줄래,뮤직웍스,지니뮤직,길구봉구,2019.06.02~2019.06.08,6516266,91,가요 / 발라드,03:55,남성,그룹
91,Dream Glow ,"TakeOne Company, 빅히트엔터테인먼트",카카오 M,"방탄소년단, Charli XCX",2019.06.02~2019.06.08,6481714,92,OST / 애니메이션/게임,03:08,혼성,프로젝트
92,불면 ,로맨틱팩토리,카카오 M,"오반, VAN.C",2019.06.02~2019.06.08,6416173,93,가요 / 인디,03:26,남성,프로젝트
93,아름답고도 아프구나,큐브엔터테인먼트,카카오 M,비투비 ,2019.06.02~2019.06.08,6388750,94,가요 / 발라드,04:00,남성,그룹
94,여자친구,"인디안레이블, 메이저나인",지니뮤직,하은요셉,2019.06.02~2019.06.08,6355584,95,가요 / 인디,03:14,남성,그룹
95,하루도 그대를 사랑하지 않은 적이 없었다,NH EMG,인터파크,임창정,2019.06.02~2019.06.08,6301869,96,가요 / 발라드,04:03,남성,솔로
96,Shape of You,Atlantic Records UK,Warner Music,Ed Sheeran,2019.06.02~2019.06.08,6250429,97,POP / 팝,03:54,남성,솔로
97,Believer,"KIDinaKORNER, Interscope Records",Universal Music,Imagine Dragons,2019.06.02~2019.06.08,6233149,98,POP / 락,03:24,남성,그룹
98,그리워하다,큐브엔터테인먼트,카카오 M,비투비 ,2019.06.02~2019.06.08,6196890,99,가요 / 발라드,03:57,남성,그룹
99,가을 타나 봐,메이저나인,지니뮤직,바이브 ,2019.06.02~2019.06.08,6109065,100,가요 / 발라드,03:52,남성,그룹
100,뚜두뚜두 ,YG Entertainment,YG PLUS,BLACKPINK,2019.06.02~2019.06.08,6100266,101,가요 / 댄스,03:29,여성,그룹
101,너 없인 안 된다,큐브엔터테인먼트,카카오 M,비투비 ,2019.06.02~2019.06.08,6082467,102,가요 / 발라드,03:47,남성,그룹
102,그러나,매직스트로베리사운드,카카오 M,10cm,2019.06.02~2019.06.08,6051306,103,가요 / 인디,03:51,남성,솔로
103,BREATHE,브랜뉴뮤직,Warner Music,AB6IX ,2019.06.02~2019.06.08,5988045,104,가요 / 댄스,03:38,남성,그룹
104,Good Day ,Stone Music Entertainment,지니뮤직,"pH-1, Kid Milli, 루피 ",2019.06.02~2019.06.08,5940233,105,가요 / 랩/힙합,04:27,남성,프로젝트
105,SHE`S FINE,"Stone Music Entertainment, Studio blu",지니뮤직,헤이즈 ,2019.06.02~2019.06.08,5853254,106,가요 / R&B/소울,02:31,여성,솔로
106,Intro _ Persona,빅히트 엔터테인먼트,Dreamus,방탄소년단,2019.06.02~2019.06.08,5765772,107,가요 / 랩/힙합,02:51,남성,그룹
107,Idontwannabeyouanymore,"Darkroom, Interscope Records",Universal Music,Billie Eilish,2019.06.02~2019.06.08,5739870,108,POP / 락,03:24,여성,솔로
108,Youth,Universal Music,Universal Music,Troye Sivan,2019.06.02~2019.06.08,5645779,109,POP / 팝,03:05,남성,솔로
109,Tempo,SM Entertainment,Dreamus,EXO,2019.06.02~2019.06.08,5475851,110,가요 / 댄스,03:45,남성,그룹
110,If I Can`t Have You,"Island Records, a division of UMG Recordings, Inc.",Universal Music,Shawn Mendes,2019.06.02~2019.06.08,5394325,111,POP / 팝,03:11,남성,솔로
111,미안해,브랜뉴뮤직,카카오 M,양다일,2019.06.02~2019.06.08,5392666,112,가요 / R&B/소울,03:49,남성,솔로
112,라이딩 ,스타크루이엔티,카카오 M,하성운,2019.06.02~2019.06.08,5121890,113,가요 / R&B/소울,04:00,남성,솔로
113,GO HIGH ,Stone Music Entertainment,지니뮤직,이영지,2019.06.02~2019.06.08,5069824,114,가요 / 랩/힙합,04:21,여성,솔로
114,Attention,Artist Partners,Warner Music,Charlie Puth,2019.06.02~2019.06.08,5068935,115,POP / 팝,03:32,남성,솔로
115,선물,"민트페이퍼, 광합성",카카오 M,멜로망스,2019.06.02~2019.06.08,4983957,116,가요 / 인디,04:21,남성,듀엣
116,flex ,"인디고뮤직, 딩고뮤직",카카오 M,"기리보이, Kid Milli, NO:EL, 스윙스 ",2019.06.02~2019.06.08,4982856,117,가요 / 랩/힙합,03:46,남성,프로젝트
117,Mermaid,쇼파르뮤직,카카오 M,볼빨간사춘기,2019.06.02~2019.06.08,4951737,118,가요 / 인디,04:57,여성,솔로
118,FAKE LOVE,빅히트 엔터테인먼트,Dreamus,방탄소년단,2019.06.02~2019.06.08,4893604,119,가요 / 랩/힙합,04:02,남성,그룹
119,i`m so tired...,뮤직테이블,NHN벅스,"Lauv, Troye Sivan",2019.06.02~2019.06.08,4892854,120,POP / 팝,02:43,남성,프로젝트
120,Thunder,"KIDinaKORNER, Interscope Records",Universal Music,Imagine Dragons,2019.06.02~2019.06.08,4831345,121,POP / 락,03:07,남성,그룹
121,그날처럼,리메즈,카카오 M,장덕철,2019.06.02~2019.06.08,4809667,122,가요 / 발라드,03:53,남성,그룹
122,HandClap,Elektra,Warner Music,Fitz & The Tantrums,2019.06.02~2019.06.08,4768093,123,POP / 락,03:13,혼성,밴드
123,Arabian Nights ,"Disney Enterprises,Inc.",Universal Music,Will Smith,2019.06.02~2019.06.08,4606116,124,OST / 해외영화,03:13,남성,솔로
124,비도 오고 그래서 ,Stone Music Entertainment,지니뮤직,헤이즈 ,2019.06.02~2019.06.08,4560996,125,가요 / 랩/힙합,03:25,여성,솔로
125,All Falls Down ,MER Musikk,Sony Music,Alan Walker,2019.06.02~2019.06.08,4505959,126,POP / 일렉트로니카,03:19,남성,솔로
126,취하고 싶다 ,678 MUSIC,뮤직파운드,황인욱,2019.06.02~2019.06.08,4474617,127,가요 / 발라드,03:44,남성,솔로
127,DNA,빅히트 엔터테인먼트,Dreamus,방탄소년단,2019.06.02~2019.06.08,4447265,128,가요 / 랩/힙합,03:43,남성,그룹
128,Havana ,Syco Music/Epic,Sony Music,Camila Cabello,2019.06.02~2019.06.08,4400766,129,POP / 팝,03:37,여성,솔로
129,Roller Coaster,MNH Entertainment,"지니뮤직, Stone Music Entertainment",청하,2019.06.02~2019.06.08,4389019,130,가요 / 댄스,03:33,여성,솔로
130,Closer ,"Disruptor Records, Columbia",Sony Music,The Chainsmokers,2019.06.02~2019.06.08,4306465,131,POP / 팝,04:06,남성,듀엣
131,라비앙로즈 ,"Stone Music Entertainment, OFF THE RECORD Entertainment",지니뮤직,IZ*ONE ,2019.06.02~2019.06.08,4295505,132,가요 / 댄스,03:39,여성,그룹
132,Boogie Up,스타쉽엔터테인먼트,카카오 M,우주소녀,2019.06.02~2019.06.08,4275585,133,가요 / 댄스,03:04,여성,그룹
133,사랑을 했다 ,YG Entertainment,YG PLUS,iKON,2019.06.02~2019.06.08,4228249,134,가요 / 랩/힙합,03:30,남성,그룹
134,One Call Away,Artist Partners,Warner Music,Charlie Puth,2019.06.02~2019.06.08,4196897,135,POP / 팝,03:15,남성,솔로
135,가을 안부,먼데이키즈 컴퍼니,지니뮤직,먼데이 키즈 ,2019.06.02~2019.06.08,4184341,136,가요 / 발라드,05:03,남성,솔로
136,첫눈처럼 너에게 가겠다,"Stone Music Entertainment, 화앤담픽쳐스","지니뮤직, Stone Music Entertainment",에일리 ,2019.06.02~2019.06.08,4121077,137,OST / 드라마,03:50,여성,솔로
137,Forever Young,YG Entertainment,YG PLUS,BLACKPINK,2019.06.02~2019.06.08,4101650,138,가요 / 댄스,03:57,여성,그룹
138,Love Yourself,"Def Jam Recordings, a division of UMG Recordings, Inc",Universal Music,Justin Bieber,2019.06.02~2019.06.08,4101116,139,POP / 팝,03:54,남성,솔로
139,뿜뿜,"엠엘디엔터테인먼트, 카카오 M",카카오 M,모모랜드 ,2019.06.02~2019.06.08,3912466,140,가요 / 댄스,03:29,여성,그룹
140,NO WAY ,YG Entertainment,YG Plus,이하이,2019.06.02~2019.06.08,3895941,141,가요 / R&B/소울,04:17,여성,솔로
141,Prince Ali,"Disney Enterprises,Inc.",Universal Music,Will Smith,2019.06.02~2019.06.08,3893764,142,OST / 해외영화,03:30,남성,솔로
142,We Don`t Talk Anymore ,Artist Partners,Warner Music,Charlie Puth,2019.06.02~2019.06.08,3763212,143,POP / 팝,03:38,남성,솔로
143,Power Up,SM Entertainment,Dreamus,레드벨벳,2019.06.02~2019.06.08,3746508,144,가요 / 댄스,03:22,여성,그룹
144,주지마,한국방송공사,카카오 M,"로꼬, 화사",2019.06.02~2019.06.08,3735909,145,가요 / 발라드,03:52,혼성,프로젝트
145,Something Just Like This,"Disruptor Records, Columbia",Sony Music,"The Chainsmokers, Coldplay",2019.06.02~2019.06.08,3734774,146,POP / 팝,04:07,남성,프로젝트
146,시간이 들겠지 ,AOMG,카카오 M,로꼬 ,2019.06.02~2019.06.08,3733357,147,가요 / 랩/힙합,03:52,남성,솔로
147,There`s Nothing Holdin` Me Back,"Island Records, a division of UMG Recordings, Inc.",Universal Music,Shawn Mendes,2019.06.02~2019.06.08,3691622,148,POP / 팝,03:20,남성,솔로
148,Sunflower ,Universal Music,Universal Music,Post Malone & Swae Lee,2019.06.02~2019.06.08,3663801,149,OST / 애니메이션/게임,02:38,남성,프로젝트
149,ME! ,Taylor Swift,Universal Music,Taylor Swift,2019.06.02~2019.06.08,3659089,150,POP / 팝,03:13,여성,솔로
150,헤어지는 중,냠냠엔터테인먼트,카카오 M,펀치 ,2019.06.02~2019.06.08,3642635,151,가요 / R&B/소울,03:43,여성,솔로
151,좋니,미스틱스토리,카카오 M,윤종신,2019.06.02~2019.06.08,3640970,152,가요 / 발라드,05:28,남성,솔로
152,You,JTBC,인터파크,멜로망스,2019.06.02~2019.06.08,3636073,153,가요 / 발라드,04:32,남성,듀엣
153,My Way,"윈드밀이엔티, 뮤직버디",뮤직앤뉴,이수,2019.06.02~2019.06.08,3624003,154,OST / 드라마,04:39,남성,솔로
154,Talk,"Right Hand Music Group, LLC/RCA Records",Sony Music,"Khalid, Disclosure",2019.06.02~2019.06.08,3621875,155,POP / R&B/소울,04:33,남성,솔로
155,사이렌 ,메이크어스엔터테인먼트,카카오 M,선미,2019.06.02~2019.06.08,3620126,156,가요 / 댄스,03:19,여성,솔로
156,미운 날 ,리메즈,Universal Music,닐로 ,2019.06.02~2019.06.08,3619231,157,가요 / 발라드,05:12,남성,솔로
157,빨간 맛 ,SM Entertainment,Dreamus,레드벨벳,2019.06.02~2019.06.08,3597360,158,가요 / 댄스,03:11,여성,그룹
158,Faded,MER Musikk,Sony Music,Alan Walker,2019.06.02~2019.06.08,3557550,159,POP / 일렉트로니카,03:33,남성,솔로
159,Girls Like You ,Interscope Records,Universal Music,Maroon 5,2019.06.02~2019.06.08,3547168,160,POP / 팝,03:56,남성,밴드
160,날씨 좋은 날,WM엔터테인먼트,카카오 M,산들,2019.06.02~2019.06.08,3517140,161,가요 / 발라드,05:26,남성,솔로
161,On My Way,MER Recordings,Sony Music,"Alan Walker, Sabrina Carpenter, Farruko",2019.06.02~2019.06.08,3499630,162,POP / 일렉트로니카,03:14,남성,프로젝트
162,The Ocean ,DF Records,Sony Music,Mike Perry,2019.06.02~2019.06.08,3480341,163,POP / 일렉트로니카,03:03,남성,솔로
163,전하지 못한 진심 ,빅히트 엔터테인먼트,Dreamus,방탄소년단,2019.06.02~2019.06.08,3478439,164,가요 / 발라드,04:02,남성,그룹
164,나의 사춘기에게,쇼파르뮤직,카카오 M,볼빨간사춘기,2019.06.02~2019.06.08,3456368,165,가요 / 인디,03:43,여성,솔로
165,9-TEEN,PLAYLIST,카카오 M,세븐틴,2019.06.02~2019.06.08,3455645,166,OST / 드라마,03:18,남성,그룹
166,IndiGO,인디고뮤직,카카오 M,저스디스 ,2019.06.02~2019.06.08,3429249,167,가요 / 랩/힙합,04:01,남성,프로젝트
167,Sugar,Interscope Records,Universal Music,Maroon 5,2019.06.02~2019.06.08,3427699,168,POP / 락,03:56,남성,밴드
168,Feedback ,SM Entertainment,Dreamus,보아 ,2019.06.02~2019.06.08,3416523,169,가요 / 댄스,03:20,여성,솔로
169,사랑했지만,아이스타 네트워크,킹핀엔터테인먼트,김길중,2019.06.02~2019.06.08,3401548,170,가요 / 발라드,05:01,남성,솔로
170,스며들기 좋은 오늘,PLAYLIST,카카오 M,백예린,2019.06.02~2019.06.08,3372844,171,OST / 드라마,03:30,여성,솔로
171,이 별,뮤직웍스,지니뮤직,길구봉구,2019.06.02~2019.06.08,3360541,172,가요 / 발라드,03:58,남성,그룹
172,wish you were gay,"Darkroom, Interscope Records",Universal Music,Billie Eilish,2019.06.02~2019.06.08,3300514,173,POP / 락,03:42,여성,솔로
173,공일공 ,소리바다,소리바다,이우,2019.06.02~2019.06.08,3274995,174,가요 / 발라드,03:48,남성,솔로
174,Snowman,"Monkey Puzzle, Atlantic",Warner Music,Sia,2019.06.02~2019.06.08,3223012,175,POP / 팝,02:46,여성,솔로
175,Chandelier,Monkey Puzzle Records,Sony Music,Sia,2019.06.02~2019.06.08,3205175,176,POP / 팝,03:36,여성,솔로
176,Friend Like Me,"Disney Enterprises,Inc.",Universal Music,Will Smith,2019.06.02~2019.06.08,3199995,177,OST / 해외영화,02:36,남성,솔로
177,넋두리,닐로엔터테인먼트,루미넌트엔터테인먼트,닐로 ,2019.06.02~2019.06.08,3184808,178,가요 / 발라드,05:07,남성,솔로
178,What is Love?,JYP Entertainment,Dreamus,TWICE,2019.06.02~2019.06.08,3173694,179,가요 / 댄스,03:28,여성,그룹
179,야간비행 ,JYP Entertainment,Dreamus,백예린,2019.06.02~2019.06.08,3172781,180,가요 / R&B/소울,04:05,여성,솔로
180,Sucker,Jonas Brothers Recording,Universal Music,Jonas Brothers,2019.06.02~2019.06.08,3172437,181,POP / 팝,03:01,남성,그룹
181,I`m Not The Only One,Capitol Records,Universal Music,Sam Smith,2019.06.02~2019.06.08,3172009,182,POP / 팝,04:00,남성,솔로
182,어디에도,뮤직앤뉴,뮤직앤뉴,엠씨더맥스 ,2019.06.02~2019.06.08,3167932,183,가요 / 발라드,05:31,남성,밴드
183,BEE,도로시 컴퍼니,"지니뮤직, Stone Music Entertainment",로시 ,2019.06.02~2019.06.08,3158130,184,가요 / R&B/소울,03:16,여성,솔로
184,혼자,씨제스엔터테인먼트,카카오 M,거미,2019.06.02~2019.06.08,3148963,185,가요 / 발라드,04:32,여성,솔로
185,시차 ,AOMG,"지니뮤직, Stone Music Entertainment",우원재,2019.06.02~2019.06.08,3073367,186,가요 / 랩/힙합,03:16,남성,솔로
