,name,production,distributor,artist,time,score,rank,name_artist,장르,런타임,성별,활동유형
0,주지마,한국방송공사,카카오 M,"로꼬, 화사",2018.04.22~2018.04.28,70871768,1,"로꼬, 화사,주지마",가요 / 발라드,03:52,혼성,프로젝트
1,지나오다,닐로 컴퍼니,퍼플파인 엔터테인먼트,닐로 ,2018.04.22~2018.04.28,42676764,2,"닐로 ,지나오다",가요 / 발라드,04:41,남성,솔로
2,What is Love?,JYP Entertainment,Dreamus,TWICE,2018.04.22~2018.04.28,40067058,3,"TWICE,What is Love?",가요 / 댄스,03:28,여성,그룹
3,붕붕 ,Stone Music Entertainment,Stone Music Entertainment,김하온 ,2018.04.22~2018.04.28,37468296,4,"김하온 ,붕붕 ",가요 / 랩/힙합,03:55,남성,솔로
4,You,JTBC,인터파크,멜로망스,2018.04.22~2018.04.28,37166962,5,"멜로망스,You",가요 / 발라드,04:32,남성,듀엣
5,사랑을 했다 ,YG Entertainment,지니뮤직,iKON,2018.04.22~2018.04.28,30502332,6,"iKON,사랑을 했다 ",가요 / 랩/힙합,03:30,남성,그룹
6,별이 빛나는 밤,RBW,카카오 M,마마무 ,2018.04.22~2018.04.28,30214130,7,"마마무 ,별이 빛나는 밤",가요 / 댄스,03:31,여성,그룹
7,바코드 ,Stone Music Entertainment,Stone Music Entertainment,김하온 ,2018.04.22~2018.04.28,29054684,8,"김하온 ,바코드 ",가요 / 랩/힙합,03:43,남성,프로젝트
8,꽃 길,YG Entertainment,지니뮤직,빅뱅,2018.04.22~2018.04.28,28780170,9,"빅뱅,꽃 길",가요 / 트로트,03:18,여성,솔로
9,EVERYDAY,YG Entertainment,지니뮤직,WINNER,2018.04.22~2018.04.28,28645741,10,"WINNER,EVERYDAY",가요 / 랩/힙합,03:26,남성,그룹
10,뿜뿜,"엠엘디엔터테인먼트, 카카오 M",카카오 M,모모랜드 ,2018.04.22~2018.04.28,25881139,11,"모모랜드 ,뿜뿜",가요 / 댄스,03:29,여성,그룹
11,My Way,"윈드밀이엔티, 뮤직버디",뮤직앤뉴,이수,2018.04.22~2018.04.28,25652021,12,"이수,My Way",OST / 드라마,04:39,남성,솔로
12,그날처럼,리메즈,카카오 M,장덕철,2018.04.22~2018.04.28,24695289,13,"장덕철,그날처럼",가요 / 발라드,03:53,남성,그룹
13,소나기 ,어라운드 어스,카카오 M,용준형,2018.04.22~2018.04.28,23715811,14,"용준형,소나기 ",가요 / 랩/힙합,03:25,남성,솔로
14,욕심,"민트페이퍼, 광합성",카카오 M,멜로망스,2018.04.22~2018.04.28,23462276,15,"멜로망스,욕심",가요 / 인디,04:01,남성,듀엣
15,그때 헤어지면 돼,"Stone Music Entertainment, MMO Entertainment",Stone Music Entertainment,로이킴,2018.04.22~2018.04.28,22761890,16,"로이킴,그때 헤어지면 돼",가요 / 발라드,04:09,남성,솔로
16,전혀 ,Stone Music Entertainment,Stone Music Entertainment,이병재 ,2018.04.22~2018.04.28,22172309,17,"이병재 ,전혀 ",가요 / 랩/힙합,03:41,남성,솔로
17,선물,"민트페이퍼, 광합성",카카오 M,멜로망스,2018.04.22~2018.04.28,20887380,18,"멜로망스,선물",가요 / 인디,04:21,남성,듀엣
