st_day,dc_total_numb,dc_mean_reccomend,dc_mean_views,artist
2017-08-20,1,23,827,15&amp;
2017-09-10,1,0,519,15&amp;
2017-09-24,3,0.3333333333333333,849.6666666666666,15&amp;
2017-10-01,1,2,1179,15&amp;
2017-10-15,1,1,437,15&amp;
2017-10-22,1,1,658,15&amp;
2017-11-05,4,4,634.25,15&amp;
2017-11-12,1,0,409,15&amp;
2017-11-26,1,19,924,15&amp;
2017-12-17,2,3.5,473.5,15&amp;
2017-12-24,2,5.5,935.5,15&amp;
2018-01-14,1,1,1507,15&amp;
2018-02-18,1,7,746,15&amp;
2018-03-04,1,0,375,15&amp;
2018-03-11,2,2.5,1137,15&amp;
2018-05-20,1,27,969,15&amp;
2018-08-05,1,0,367,15&amp;
2018-08-26,6,5.4,471.4,15&amp;
2018-09-02,5,4.8,684.6,15&amp;
2018-09-23,1,2,397,15&amp;
2018-09-30,1,0,501,15&amp;
2018-10-14,2,0.5,394.5,15&amp;
2018-10-21,1,3,376,15&amp;
2018-10-28,1,1,499,15&amp;
2018-12-16,1,1,559,15&amp;
2019-02-17,1,1,448,15&amp;
2019-03-03,1,2,371,15&amp;
2019-07-07,1,0,277,15&amp;
2019-08-04,1,3,706,15&amp;
2019-11-24,1,0,119,15&amp;
2020-04-19,1,0,43,15&amp;
2018-03-04,4,2.25,390.5,2AM
2018-03-11,1,5,439,2AM
2018-03-18,1,5,280,2AM
2018-03-25,5,1.4,234.4,2AM
2018-04-01,8,0,213.625,2AM
2018-04-08,13,1.5,181.25,2AM
2018-04-15,2,0.5,255.5,2AM
2018-04-22,6,4,278,2AM
2018-04-29,59,0.4107142857142857,224.10714285714286,2AM
2018-05-06,21,0.26666666666666666,657.0666666666667,2AM
2018-05-13,2,1,246.5,2AM
2018-05-20,2,0.5,245,2AM
2018-05-27,12,2.4166666666666665,235.91666666666666,2AM
2018-06-03,5,2.2,272.8,2AM
2018-06-10,11,1.4,212.7,2AM
2018-06-17,5,2.75,251,2AM
2018-06-24,3,5,282,2AM
2018-07-01,23,4,199,2AM
2018-07-08,35,1,506.4,2AM
2018-07-15,11,3.6,202.4,2AM
2018-07-29,3,3.5,149.5,2AM
2018-08-05,10,2.2222222222222223,255.22222222222223,2AM
2018-08-12,8,3,368.1666666666667,2AM
2018-08-26,10,0.8,169.9,2AM
2018-09-02,8,0.3333333333333333,196.33333333333334,2AM
2018-09-09,16,0.75,285.125,2AM
2018-09-16,20,0.5,210.5,2AM
2018-09-23,1,1,173,2AM
2018-09-30,12,7.166666666666667,308.6666666666667,2AM
2018-10-07,8,1.5,345.25,2AM
2018-10-14,1,0,262,2AM
2018-10-21,6,0.25,330.5,2AM
2018-10-28,3,1.5,448,2AM
2018-11-04,4,3,508,2AM
2018-11-11,15,0,5736,2AM
2018-11-18,6,0.6666666666666666,594.3333333333334,2AM
2018-11-25,1,2,584,2AM
2018-12-09,4,5,501,2AM
2018-12-16,3,6,7836,2AM
2018-12-23,6,2.25,3900.5,2AM
2018-12-30,1,0,14575,2AM
2019-01-13,1,0,485,2AM
2019-01-20,45,3.25,557,2AM
2019-01-27,1,0,605,2AM
2019-02-17,1,1,326,2AM
2019-02-24,3,3.5,433,2AM
2019-03-03,2,4.5,719.5,2AM
2019-03-17,1,15,1779,2AM
2019-03-24,1,32,2038,2AM
2019-03-31,1,0,1129,2AM
2019-04-07,1,0,596,2AM
2019-04-28,4,12.5,1727,2AM
2019-05-19,1,0,768,2AM
2019-06-02,1,7,659,2AM
2019-07-07,1,3,339,2AM
2019-08-04,2,6.5,527.5,2AM
2019-08-25,1,8,531,2AM
2019-09-08,2,0,412.5,2AM
2019-09-22,3,8.5,326.5,2AM
2019-10-20,1,6,350,2AM
2019-11-24,1,0,140,2AM
2019-12-08,1,0,292,2AM
2020-01-05,1,0,233,2AM
2020-02-23,1,0,177,2AM
2020-03-01,1,0,192,2AM
2020-03-08,1,0,118,2AM
2020-03-29,2,10.5,200.5,2AM
2020-04-05,1,19,368,2AM
2020-04-26,8,1.625,51.625,2AM
2020-05-03,4,0,1551.3333333333333,2AM
2018-03-25,11,17.833333333333332,913.6666666666666,2NE1
2018-04-01,15,5,410.6,2NE1
2018-04-08,5,24,754.25,2NE1
2018-04-15,11,18,660.1666666666666,2NE1
2018-04-22,235,40.86486486486486,364.3243243243243,2NE1
2018-04-29,18,10,562,2NE1
2018-05-06,17,92.75,985.375,2NE1
2018-05-13,28,8.736842105263158,939.7368421052631,2NE1
2018-05-20,12,9.285714285714286,646.5714285714286,2NE1
2018-05-27,19,13.461538461538462,493.84615384615387,2NE1
2018-06-03,5,19.333333333333332,661.6666666666666,2NE1
2018-06-10,84,64.52380952380952,577.452380952381,2NE1
2018-06-17,36,51.333333333333336,763.4444444444445,2NE1
2018-06-24,35,32.77777777777778,1075.5555555555557,2NE1
2018-07-01,26,157.66666666666666,1476.6666666666667,2NE1
2018-07-08,38,95.77777777777777,1136.2222222222222,2NE1
2018-07-15,111,23.952380952380953,930.2380952380952,2NE1
2018-07-22,11,36.333333333333336,1622.3333333333333,2NE1
2018-07-29,10,17,1220,2NE1
2018-08-05,17,21.666666666666668,1165.5,2NE1
2018-08-12,4,29,774.6666666666666,2NE1
2018-08-19,14,25,968,2NE1
2018-08-26,5,5,726.2,2NE1
2018-09-02,11,17,1096.2,2NE1
2018-09-09,2,3.5,480,2NE1
2018-09-23,1,18,801,2NE1
2018-09-30,23,52.625,816.125,2NE1
2018-10-07,2,112,1596.5,2NE1
2018-10-14,2,13,628,2NE1
2018-10-21,6,52.2,1046.8,2NE1
2018-10-28,17,26.833333333333332,708.5,2NE1
2018-11-04,1,0,1258,2NE1
2018-11-11,160,21.2,2608.6,2NE1
2018-11-18,14,14.25,520.1666666666666,2NE1
2018-11-25,16,15.428571428571429,704,2NE1
2018-12-02,14,11.7,595.8,2NE1
2018-12-09,20,13.923076923076923,552.3846153846154,2NE1
2018-12-16,12,2.4285714285714284,483.2857142857143,2NE1
2018-12-23,20,25.4,833.1,2NE1
2018-12-30,19,25.428571428571427,690.4285714285714,2NE1
2019-01-06,1,15,642,2NE1
2019-01-13,12,16.2,788,2NE1
2019-01-20,40,8.5,597.5,2NE1
2019-01-27,16,24.857142857142858,652.5714285714286,2NE1
2019-02-03,10,22,528.6666666666666,2NE1
2019-02-10,63,16.470588235294116,364.4117647058824,2NE1
2019-02-17,94,11.515151515151516,425.3333333333333,2NE1
2019-02-24,196,7.7272727272727275,270.55194805194805,2NE1
2019-03-03,322,7.622950819672131,248.6639344262295,2NE1
2019-03-10,3033,2.0431834403997144,87.43683083511777,2NE1
2019-03-17,703,5.3607907742998355,213.09390444810543,2NE1
2019-03-24,882,1.7182389937106919,96.44025157232704,2NE1
2019-03-31,167,5.81294964028777,496.6115107913669,2NE1
2019-04-07,71,10.340425531914894,471.63829787234044,2NE1
2019-04-14,103,6.848101265822785,285.9493670886076,2NE1
2019-04-21,113,6.25,356.9375,2NE1
2019-04-28,934,1.9134396355353076,87.52277904328018,2NE1
2019-05-05,256,6.366666666666666,256.15,2NE1
2019-05-12,253,8.343478260869565,348.7739130434783,2NE1
2019-05-19,137,6.893203883495145,269.41747572815535,2NE1
2019-05-26,138,3.65,202.95833333333334,2NE1
2019-06-02,58,6.196078431372549,287.72549019607845,2NE1
2019-06-09,111,4.965909090909091,292.60227272727275,2NE1
2019-06-16,90,7.426666666666667,339.08,2NE1
2019-06-23,97,4.275862068965517,248.183908045977,2NE1
2019-06-30,1602,0.5363321799307958,35.69342560553633,2NE1
2019-07-07,98,5.232558139534884,339.6860465116279,2NE1
2019-07-14,466,1.4027149321266967,84.41176470588235,2NE1
2019-07-21,193,5.517985611510792,350.158273381295,2NE1
2019-07-28,212,2.0051020408163267,177.6173469387755,2NE1
2019-08-04,197,3.7823834196891193,161.3419689119171,2NE1
2019-08-11,243,6.580786026200873,248.24890829694323,2NE1
2019-08-18,81,8.885714285714286,433.34285714285716,2NE1
2019-08-25,283,3.5515873015873014,290.37301587301585,2NE1
2019-09-01,286,5.283400809716599,329.46153846153845,2NE1
2019-09-08,414,3.5888324873096447,202.5507614213198,2NE1
2019-09-15,214,6.53,332.51,2NE1
2019-09-22,233,5.234741784037559,330.3192488262911,2NE1
2019-09-29,167,6.456953642384106,419.8344370860927,2NE1
2019-10-06,275,8.190871369294605,367.2780082987552,2NE1
2019-10-13,134,6.528925619834711,336.9834710743802,2NE1
