,백예린,Alan Walker,Dua Lipa,릴러말즈,홍진영,모모랜드,박지훈,천단비,AURORA,Idina Menzel,NO:EL,Evan Rachel Wood,산들,Straight No Chaser,로시,pH-1,Jeremy Zucker,(여자)아이들,전상근,Colde,다이나믹 듀오,청하,김효은,마크툽,Kid Milli,김필,Disclosure,서인국,Kristen Bell,장덕철,권순일,펀치,Farruko,Will Smith,CHANGMO,이용신,브라운 아이드 소울,헤이즈,MC몽,백지영,윤딴딴,비와이,X1,디오,iKON,송민호,규현,화사,지아,박효신,거미,Lukas Graham,Pink Sweat$,Camila Cabello,Martin Garrix,Hash Swan,김나영,John Legend,한요한,Jonathan Groff,바이브,ITZY,김재환,적재,성시경,Jvcki Wai,멜로망스,AB6IX,Social House,Ruel,Young B,MINO,Sabrina Carpenter,Halsey,다비치,로코베리,Selena Gomez,김길중,숀,정준일,Marshmello,SUGA,정효빈,Ariana Grande,루피,방탄소년단,FANXY CHILD,전소미,Troye Sivan,AOA,Coldplay,핑클,Josh Gad,Jonas Brothers,카더가든,우주소녀,WOOGIE,김승민,갓츄,볼빨간사춘기,아이유,The Chainsmokers,치타,Post Malone,한동근,이해리,팔로알토,장범준,빅스,태연,장혜진,샘김,창모,BLACKPINK,앤씨아,오반,양다일,마마무,닐로,브라운 아이드 걸스,소유,보아,지코,길구봉구,우디,이진혁,황치열,어쿠스틱 콜라보,김범수,임창정,잔나비,WH3N,오마이걸,은지원,허각,EK,보이비,Aurora,스텔라장,넬,비투비,기리보이,벤,먼데이 키즈,슈퍼주니어,Taylor Swift,산다라박,ASH ISLAND,첸,윤건,Sia,The Quiett,김동률,Michael Buble,매드 클라운,피아노맨,PRODUCE X 101,백호,Crush,세정,여동생,Juice WRLD,로꼬,박다혜,어반 자카파,P.O,권진아,저스디스,윤종신,염따,스윙스,윤하,자이언티,정인,엔플라잉,CL,Ed Sheeran,박봄,쿠기,맴맴,케이윌,백현,SG워너비,김동준,태용,Sik-K,GRAY,블랙넛,DAY6,이수,Mariah Carey,빈지노,Zara Larsson,BIG Naughty,에일리,비,VICTON,빈첸,뉴이스트,WINNER,HYNN,IZ*ONE,영비,10cm,강현준,여은,이석훈,최자,송하예,폴킴,황인욱,스탠딩 에그,박혜나,Naomi Scott,박진영,Adam Levine,Zedd,임한별,크레파스,그루비룸,이소라,레드벨벳,Justin Bieber,그리즐리,개코,케이시,NCT DREAM,에피톤 프로젝트,Charlie Puth,Imagine Dragons,플라이 투 더 스카이,윤비,정승환,제니,린,선미,Lauv,신예영,윤미래,Khalid,휘인,유노윤호,가비엔제이,Mike Perry,YUNHWAY,헨리,V.O.S,반하나,GOT7,Anne-Marie,TWICE,EXO,Charli XCX,Adele,세븐틴,이하이,임재현,펀치넬로,JINU,에픽하이,Alessia Cara,악동뮤지션,박재정,ZENE THE ZILLA,도넛맨,Maroon 5,Bryn,윤민수,Billie Eilish,유산슬,노을,임현식,Arizona Zervas,Sam Smith,이우,Kiana Lede,짱유,문성욱,FTISLAND,김민석,지구인,존박,김호진,육성재,엠씨더맥스,하은,Woodie Gochild,사이먼 도미닉,현아,박경,히키,딥플로우,크러쉬,EXO-CBX,Shawn Mendes,서동현,CHEEZE,여자친구,Mena Massoud,이영지,박재범,송가인,하성운,빈센트블루,최엘비,윤훼이,김하온,세훈,찬열,공기남,투모로우바이투게더,송이한,옹성우,사이먼도미닉,Leellamarz,The Quiett,Stevie Wonder,Andra Day,마미손,Osshun Gum,애즈원,원슈타인,Post Malone,Swae Lee,에이치코드,보라미유,픽보이,우원재,강다니엘,하은요셉,Chillin Homie,TAKUWA
2019.6.2,19,87,14,0,83,35,57,0,30,0,68,0,59,0,26,47,46,23,0,60,27,43,29,0,45,25,20,32,0,30,0,53,0,69,0,7,19,26,7,24,18,8,11,72,17,33,27,3,78,51,32,20,0,5,38,0,32,29,37,0,26,2,29,36,36,51,30,99,0,19,0,20,47,78,75,0,29,65,42,0,100,64,0,41,68,100,0,32,21,32,56,0,0,100,28,88,0,16,0,22,47,70,25,37,49,73,0,21,72,33,30,26,11,53,36,18,17,33,12,12,70,88,33,32,32,15,39,0,58,35,100,0,35,28,37,17,0,30,21,29,86,17,52,45,24,40,19,34,1,21,31,0,45,69,13,0,45,52,64,51,78,0,74,100,0,0,13,100,38,40,90,22,27,65,53,65,37,7,100,0,38,32,100,0,41,0,72,0,14,70,29,34,40,0,35,70,100,5,34,100,0,62,10,84,0,0,27,1,0,37,6,0,0,100,15,29,47,29,14,0,60,28,31,0,41,45,21,76,23,100,0,0,44,44,3,28,20,0,77,10,16,69,27,0,48,44,0,0,84,48,55,39,77,37,61,100,53,6,0,32,33,29,31,0,32,49,0,11,54,0,43,35,0,60,70,100,0,0,48,25,0,59,27,26,47,100,0,53,21,4,82,15,81,0,22,0,33,52,88,30,13,100,57,0,32,0,68,28,39,0,30,0,29,86,0,46,52,0,16,100,9,0,39,0,57,64,0,11,12,100,0,0
2019.6.9,12,65,28,0,100,34,54,0,65,0,0,53,67,0,45,0,92,32,0,0,0,63,29,28,91,13,59,63,0,15,97,41,0,98,39,3,13,41,6,37,36,80,15,64,100,100,76,4,90,51,43,20,0,11,30,0,35,58,49,0,21,6,37,41,46,0,10,99,0,28,0,0,0,52,80,0,29,64,66,0,86,0,34,38,65,77,0,100,62,40,56,6,0,28,97,100,49,16,0,35,44,47,60,29,25,32,8,26,75,37,35,26,16,58,36,18,17,22,8,6,92,92,25,0,32,23,39,0,34,43,67,0,39,66,44,51,0,65,20,35,45,75,46,30,14,49,19,69,1,21,46,0,45,86,19,25,45,49,68,49,72,2,83,49,64,69,38,33,27,28,55,19,9,75,66,52,58,10,43,0,65,32,100,28,57,0,56,40,14,81,0,37,100,0,48,79,0,13,34,79,0,31,13,56,0,1,13,2,6,35,6,0,0,85,14,29,47,58,42,0,44,32,66,21,27,27,27,100,69,62,0,4,44,45,2,26,21,0,60,0,32,100,28,0,0,27,0,66,73,48,89,49,26,37,45,57,42,0,32,32,0,100,31,0,32,41,0,11,67,8,61,52,0,60,59,50,0,0,0,25,0,47,0,20,28,76,0,40,17,2,82,30,89,0,40,0,33,38,98,15,8,87,52,0,0,6,56,30,43,0,15,0,39,0,0,0,35,0,21,0,35,0,25,78,0,0,0,28,8,0,0,15
2019.6.16,14,95,29,60,66,29,66,0,48,13,0,0,51,0,33,0,0,18,0,0,36,50,39,19,45,13,20,43,0,0,0,35,0,99,39,9,13,24,5,27,18,30,13,71,25,51,40,6,56,42,40,0,45,39,15,0,57,0,25,0,28,8,45,78,31,0,10,42,30,19,0,20,0,52,46,57,29,33,49,8,72,48,34,41,78,67,0,67,21,20,51,3,0,29,14,86,0,16,0,35,51,47,36,22,25,33,9,28,70,35,12,40,16,43,0,14,34,45,31,9,75,90,91,32,77,21,99,0,41,20,49,0,27,73,45,63,0,48,42,29,66,76,38,61,11,68,0,52,1,0,55,0,23,35,13,51,59,53,38,61,71,0,56,50,54,0,13,23,11,19,26,17,18,86,13,76,71,16,22,47,44,36,84,4,58,48,66,100,59,82,10,62,30,0,33,68,0,16,28,72,21,32,10,85,0,1,27,2,4,21,16,0,0,96,10,29,0,29,71,0,38,73,31,0,28,68,0,51,58,39,0,4,10,51,3,42,36,0,35,32,16,70,28,0,0,39,0,33,64,73,66,63,26,38,58,52,36,0,0,43,33,33,31,0,0,25,48,51,52,2,33,0,0,20,54,0,6,51,0,57,100,36,28,27,48,82,0,27,14,3,83,0,64,0,80,10,33,36,69,0,14,98,34,0,0,6,44,18,67,0,0,47,22,0,0,0,53,0,38,0,0,54,11,53,0,22,100,6,6,0,0,0
2019.6.23,9,67,14,24,70,47,55,0,42,0,35,0,78,0,26,65,95,89,0,31,18,100,30,0,46,13,40,32,27,0,100,26,100,65,79,8,13,37,6,63,37,18,6,84,34,63,41,6,67,92,42,0,0,45,15,0,40,30,25,44,34,6,60,37,52,0,41,67,0,19,49,20,48,79,46,0,10,100,43,3,58,32,35,61,69,65,0,65,63,21,40,6,0,15,100,77,0,32,0,15,49,47,31,30,25,49,0,20,76,43,18,41,19,65,37,21,34,43,8,0,72,96,45,0,100,29,40,36,41,45,69,0,45,100,60,58,35,42,32,31,79,47,41,31,6,34,29,35,2,0,40,60,23,0,26,26,42,38,31,43,100,0,57,51,76,0,0,23,30,22,15,27,9,82,41,57,50,23,29,0,50,46,85,0,83,0,74,41,44,80,10,28,41,0,35,73,0,13,62,68,0,32,10,19,100,1,14,5,20,31,26,0,22,97,9,30,49,30,57,32,38,59,63,0,35,18,11,0,35,79,0,4,54,82,3,39,37,0,44,11,22,43,0,0,0,38,0,34,86,99,63,45,26,38,38,34,61,7,32,33,0,28,32,0,48,34,0,0,100,2,58,18,0,41,66,0,0,0,98,39,67,36,0,15,29,58,0,27,17,7,36,16,35,100,77,10,0,37,100,0,20,99,73,0,0,12,38,26,28,94,38,46,30,17,92,47,36,0,0,0,13,0,25,0,58,43,0,52,12,0,0,15
2019.6.30,11,67,29,60,57,35,64,0,30,0,35,0,35,0,13,32,95,66,0,31,27,78,100,67,46,10,40,43,27,0,0,37,0,83,0,6,13,47,5,50,19,34,11,98,26,40,34,8,80,100,57,0,0,34,15,0,48,0,57,44,28,9,53,26,11,0,41,76,0,19,49,41,48,26,57,0,59,33,68,8,51,49,0,55,69,71,0,82,43,20,58,12,0,15,43,61,100,32,92,28,51,48,36,38,25,100,26,15,59,47,30,68,25,55,37,14,23,40,12,9,84,100,41,0,73,18,20,0,53,100,57,0,45,91,15,35,35,30,0,33,63,36,54,39,13,88,10,35,1,21,32,0,46,0,13,0,41,73,74,66,96,0,38,0,54,0,13,34,20,18,38,56,47,87,55,84,63,70,66,48,44,43,51,0,46,0,51,46,15,92,20,63,21,0,100,63,0,8,56,68,0,0,15,96,50,1,20,3,18,25,16,0,0,59,16,0,36,30,29,32,54,42,60,0,98,41,22,52,70,39,0,4,40,100,3,24,21,0,53,54,38,60,42,0,0,40,0,34,43,100,67,47,0,19,51,34,43,0,0,0,0,12,48,0,0,17,0,45,49,0,42,35,0,21,28,0,0,0,49,32,68,85,56,24,24,83,0,27,26,4,48,0,61,0,70,0,34,43,100,15,23,72,44,0,0,0,45,18,24,0,15,47,10,0,0,0,54,0,11,0,9,0,33,0,58,0,50,12,13,0,0,0
2019.7.7,7,44,48,60,68,44,47,0,30,0,34,0,60,0,7,0,47,65,0,0,0,54,20,28,46,19,100,64,27,31,0,19,0,100,0,6,26,73,10,30,28,48,11,84,9,46,51,100,59,87,71,21,0,100,15,0,33,44,38,0,35,18,45,42,21,0,72,42,31,0,0,20,48,79,46,0,20,83,80,3,15,49,0,45,79,55,0,43,21,23,34,9,0,0,43,42,0,0,91,26,53,0,67,37,25,50,0,30,70,45,6,54,17,71,0,19,28,76,20,0,78,90,25,33,67,18,20,36,100,63,38,0,31,80,30,46,35,30,21,33,50,30,60,46,21,59,10,70,1,21,39,59,38,0,19,26,44,35,85,52,82,6,28,0,76,0,13,23,28,18,28,32,9,66,27,67,96,21,15,48,17,73,17,4,25,0,69,37,44,89,10,57,20,0,75,69,69,11,42,55,0,32,3,29,50,2,41,5,11,38,22,40,0,44,10,30,73,30,100,32,76,36,43,0,77,36,22,51,47,47,0,6,64,76,3,29,42,0,17,43,43,22,28,0,0,32,0,0,64,0,78,41,52,32,53,25,36,0,0,87,67,10,96,0,32,25,48,34,71,6,51,17,0,31,44,0,0,0,0,7,67,24,56,24,34,49,100,54,16,3,36,0,52,0,88,10,100,40,50,31,18,62,29,100,0,6,100,26,47,0,0,46,37,0,93,47,53,0,22,0,9,0,36,52,0,0,0,17,13,0,0,0
2019.7.14,9,92,30,25,55,34,54,35,63,0,0,56,45,0,21,100,49,58,0,32,0,45,41,59,47,40,42,67,56,32,0,42,0,73,41,8,13,40,9,27,19,31,29,76,44,53,49,24,61,72,73,21,0,35,16,0,23,31,79,0,19,27,39,38,43,0,53,52,0,20,51,21,0,14,64,0,41,51,64,0,30,25,0,56,84,69,0,55,66,19,42,100,0,0,45,27,51,100,0,12,82,49,27,16,26,26,9,19,65,46,31,56,11,68,76,7,29,29,8,9,97,95,33,34,64,100,51,74,37,73,38,0,23,90,78,36,36,63,11,36,47,18,48,72,8,42,20,0,1,22,33,0,64,36,20,0,100,49,100,63,58,2,59,53,34,72,14,59,15,21,31,27,10,80,42,66,100,18,23,0,46,70,0,11,39,100,86,28,46,65,21,52,42,57,51,72,36,10,43,66,0,33,10,40,0,0,42,3,9,32,10,84,22,81,7,31,100,31,0,100,16,28,66,44,29,19,39,0,60,57,0,6,36,51,3,23,16,0,54,0,51,39,0,100,0,21,0,70,34,0,74,60,0,73,49,16,69,0,33,23,0,19,0,0,33,53,50,35,57,0,76,18,0,96,40,0,0,0,0,22,35,25,29,24,50,86,0,0,9,3,49,0,59,0,92,0,0,40,72,32,15,81,95,0,0,6,52,24,70,0,16,0,33,18,96,0,37,0,17,0,18,0,37,55,0,22,0,18,12,0,0,0
2019.7.21,11,80,26,0,56,35,60,0,46,0,37,0,56,0,29,0,0,32,0,0,10,57,21,51,50,100,0,46,58,0,0,75,0,25,0,8,0,47,5,33,40,75,44,67,28,31,66,17,66,46,58,0,0,36,100,0,35,32,41,0,20,45,49,23,34,0,100,63,0,0,0,44,52,14,100,62,53,72,33,12,16,18,0,42,90,69,34,41,0,20,37,69,0,16,31,69,54,69,99,27,83,51,61,41,27,81,0,27,62,77,7,58,18,77,40,10,18,40,17,6,56,88,43,0,61,90,11,0,51,51,31,0,32,49,57,37,75,46,11,37,58,51,54,33,16,64,21,57,1,0,26,0,100,38,14,0,35,68,54,29,70,2,82,0,0,0,0,49,30,17,49,31,20,66,29,65,73,13,39,0,30,74,18,0,45,0,75,49,96,80,11,44,0,0,50,68,74,10,83,60,0,0,11,52,0,4,29,4,16,23,24,0,0,32,8,32,52,0,31,0,33,32,77,69,45,34,100,0,50,59,0,4,21,61,3,24,45,0,38,12,18,23,30,0,0,73,59,73,35,0,64,80,57,41,49,10,33,0,34,35,0,27,34,0,35,64,0,24,41,9,50,38,0,100,89,0,7,0,53,35,36,52,60,32,57,74,0,29,18,3,51,34,66,0,44,11,0,42,43,33,18,85,68,0,0,25,81,67,47,0,33,50,64,0,100,50,76,99,12,0,10,0,31,56,62,24,0,37,19,0,38,16
2019.7.28,11,56,31,0,60,22,66,0,20,0,0,0,47,0,100,70,51,42,0,100,20,46,0,20,100,93,87,23,0,0,0,54,0,64,0,3,43,90,8,25,0,100,27,76,56,68,44,8,95,59,67,22,0,54,34,0,71,32,55,0,28,100,41,17,68,56,11,73,100,21,0,0,0,72,55,0,32,36,100,6,63,26,0,73,94,60,34,32,23,22,31,60,0,16,31,59,0,17,100,25,92,52,61,24,41,63,37,15,65,60,39,59,18,100,60,10,37,25,21,13,80,82,37,71,64,45,22,0,70,35,28,0,44,38,57,50,38,20,11,43,68,77,56,25,9,41,11,57,1,47,34,65,83,38,63,28,21,41,50,42,75,2,31,56,35,75,0,61,20,19,63,28,10,100,44,54,50,23,40,0,48,58,55,8,45,0,70,30,16,68,11,75,45,59,46,63,37,12,60,79,0,0,11,41,0,0,15,4,20,10,28,0,0,42,7,0,39,32,15,35,41,29,52,23,76,45,95,56,76,86,0,6,43,65,3,27,11,0,66,23,47,29,0,53,0,92,0,37,12,81,79,56,28,42,49,13,46,21,0,47,0,29,69,0,0,37,0,25,46,4,70,0,0,45,36,55,20,0,0,39,0,52,0,32,31,26,0,58,13,3,52,34,56,0,100,28,37,100,54,100,28,82,100,0,35,25,27,51,73,0,25,0,78,38,0,51,39,100,18,0,10,0,19,0,0,0,0,19,22,0,0,0
2019.8.4,10,70,10,13,54,37,25,0,83,0,36,0,73,0,35,34,100,31,46,32,10,53,32,70,49,81,42,68,57,0,0,100,0,25,0,10,21,78,2,26,39,70,27,99,18,66,29,4,71,44,58,0,48,59,33,0,45,0,47,0,27,49,24,22,72,0,65,53,0,0,0,21,0,70,76,61,31,71,71,3,31,43,0,78,99,71,100,26,45,41,24,46,0,31,0,34,0,68,0,25,82,100,54,47,26,61,36,16,82,63,19,57,17,80,0,7,36,24,13,12,91,97,39,34,40,57,53,0,50,31,52,0,71,85,64,37,0,83,22,40,66,100,57,41,12,60,21,0,1,0,33,64,40,56,75,27,8,40,37,58,43,2,100,53,57,73,0,12,47,34,56,31,29,65,29,60,44,21,62,0,47,70,54,4,48,0,80,34,31,87,21,100,65,0,71,70,0,17,59,63,0,0,41,60,0,0,14,2,22,25,14,0,0,36,13,0,52,32,30,34,8,42,29,0,29,29,52,0,49,75,0,12,63,67,3,22,50,0,37,22,40,23,59,51,0,57,0,71,23,0,100,29,0,20,91,16,13,14,0,34,0,25,100,0,51,18,51,42,41,2,54,28,0,44,52,0,65,55,52,49,35,64,29,28,15,31,0,86,13,7,38,0,73,0,55,38,72,61,42,32,29,85,67,0,69,59,40,33,29,100,0,49,100,0,98,100,57,0,34,0,9,56,26,0,0,0,0,24,100,0,37,24
