주간,순위,song,name,lastweek_rank,지속기간,변경,조회수
20200417-20200423,1위,WANNABE,ITZY,지난주 #1,7 weeks,-9.5%,2.48M
20200417-20200423,2위,덤더럼 (Dumhdurum),에이핑크,지난주 #4,2 weeks,30.1%,2.1M
20200417-20200423,3위,돌덩이,하현우,지난주 #2,9 weeks,-16.4%,1.66M
20200417-20200423,4위,시작,가호,지난주 #5,11 weeks,-10.6%,1.38M
20200417-20200423,5위,아로하 (Aloha),Jo Jung-suk,지난주 #11,4 weeks,26.7%,1.32M
20200417-20200423,6위,Oh my god,(여자)아이들,지난주 #3,3 weeks,-20.9%,1.32M
20200417-20200423,7위,DANCE MONKEY,톤스 앤 아이,지난주 #6,22 weeks,-13%,1.14M
20200417-20200423,8위,ON,방탄소년단,지난주 #7,9 weeks,-11.4%,1.1M
20200417-20200423,9위,"그때 그 아인 (Someday, The Boy)",김필 (Kim Feel),지난주 #9,9 weeks,-8.6%,1.03M
20200417-20200423,10위,FIESTA,아이즈원,지난주 #8,10 weeks,-17.8%,951K
20200417-20200423,11위,Any song (아무노래),지코(ZICO),지난주 #10,15 weeks,-15.4%,925K
20200417-20200423,12위,METEOR,창모(CHANGMO),지난주 #14,20 weeks,-3.1%,854K
20200417-20200423,13위,Psycho,Red Velvet,지난주 #13,18 weeks,-4.7%,852K
20200417-20200423,14위,흔들리는 꽃들 속에서 네 샴푸향이 느껴진거야,장범준,지난주 #12,27 weeks,-11.2%,820K
20200417-20200423,15위,Blueming(블루밍),아이유(IU),지난주 #15,23 weeks,-4.9%,767K
20200417-20200423,16위,HIP,마마무(MAMAMOO),지난주 #16,23 weeks,-17.8%,600K
20200417-20200423,17위,니가 왜 거기서 나와 (feat. Go Eun-ah),영탁,지난주 #19,16 weeks,-3.7%,566K
20200417-20200423,18위,폰서트,10cm(십센치),지난주 #29,33 weeks,11.3%,544K
20200417-20200423,19위,좋은 사람 있으면 소개시켜줘,조이(JOY),지난주 #25,5 weeks,2%,512K
20200417-20200423,20위,BLOOM (처음처럼),엠씨더맥스,지난주 #18,5 weeks,-20.5%,501K
20200417-20200423,21위,오늘도 빛나는 너에게 (To You My Light) (feat. 이라온),마크툽(MAKTUB),지난주 #24,45 weeks,-2.8%,492K
20200417-20200423,22위,Don't Start Now,두아 리파,지난주 #21,25 weeks,-9%,491K
20200417-20200423,23위,Half (반만),진민호,지난주 #23,9 weeks,-3.8%,488K
20200417-20200423,24위,Memories,Maroon 5(마룬 파이브),지난주 #27,29 weeks,-1.1%,485K
20200417-20200423,25위,9월의 바캉스 (Vacance in September) (김재환 & 스텔라장),김재환,--,1 week,--,474K
20200417-20200423,26위,영웅 (英雄; Kick It),NCT 127,지난주 #20,7 weeks,-19.1%,472K
20200417-20200423,27위,Say So,도자캣,지난주 #22,8 weeks,-14.7%,460K
20200417-20200423,28위,Physical (feat. 화사),두아 리파,지난주 #26,7 weeks,-7.6%,454K
20200417-20200423,29위,Feel Special,TWICE(트와이스),지난주 #30,31 weeks,-8.5%,439K
20200417-20200423,30위,깡 GANG,정지훈,지난주 #31,8 weeks,-9%,433K
20200417-20200423,31위,Painkiller,루엘,지난주 #47,25 weeks,19.8%,403K
20200417-20200423,32위,우리집 My House,2PM,지난주 #17,14 weeks,-39.5%,396K
20200417-20200423,33위,LION,(여자)아이들,지난주 #28,25 weeks,-20.7%,389K
20200417-20200423,34위,"야망 (AMBITION) (feat. ASH ISLAND, 김효은, Hash Swan & 창모(CHANGMO))",릴러말즈(Leellamarz),지난주 #42,40 weeks,7.1%,383K
20200417-20200423,35위,Blinding Lights,The Weeknd(위켄드),지난주 #33,7 weeks,-9%,375K
20200417-20200423,36위,Give You My Heart (마음을 드려요),아이유(IU),지난주 #37,10 weeks,-3.7%,370K
20200417-20200423,37위,ICY,ITZY,지난주 #35,39 weeks,-9.8%,367K
20200417-20200423,38위,Despacito (feat. 대디 양키),Luis Fonsi(루이스 폰시),--,34 weeks,--,359K
20200417-20200423,39위,어떻게 지내 (I Need You),오반,지난주 #39,7 weeks,-3.9%,351K
20200417-20200423,40위,빌었어,창모(CHANGMO),지난주 #54,19 weeks,15.3%,343K
20200417-20200423,41위,Uh-Oh,(여자)아이들,지난주 #45,39 weeks,-0.4%,340K
20200417-20200423,42위,주저하는 연인들을 위해 (For Lovers Who Hesitate),잔나비,지난주 #41,31 weeks,-6.1%,336K
20200417-20200423,43위,BAD,크리스토퍼,지난주 #43,13 weeks,-4.4%,330K
20200417-20200423,44위,마음이 말하는 행복 (Happiness) (feat.이라온),마크툽(MAKTUB),지난주 #46,15 weeks,-6.2%,317K
20200417-20200423,45위,웨이백홈,숀,--,23 weeks,--,312K
20200417-20200423,46위,Bad Boy,Red Velvet,지난주 #50,28 weeks,-0.2%,306K
20200417-20200423,47위,Villain,스텔라장,--,1 week,--,303K
20200417-20200423,48위,Show Yourself (Idina Menzel(이디나 멘젤) & Evan Rachel Wood),Idina Menzel(이디나 멘젤),지난주 #44,4 weeks,-12.1%,302K
20200417-20200423,49위,"When I tell you goodbye (아무렇지 않게, 안녕)",박혜원(HYNN),지난주 #57,4 weeks,9.3%,300K
20200417-20200423,50위,The fifth season(다섯 번째 계절) (SSFWL),오마이걸(OH MY GIRL),--,28 weeks,--,300K
20200417-20200423,51위,시청 앞 지하철 역에서 (In front of city hall at the subway station),곽진언,--,1 week,--,296K
20200417-20200423,52위,"BOY Remix (키드밀리, Tommy Strate, 저스디스, Lil tachi & 스윙스(Swings))",키드밀리,--,1 week,--,290K
20200417-20200423,53위,Spit it out (뱉어),솔라,--,1 week,--,289K
20200417-20200423,54위,DUN DUN,EVERGLOW (에버글로우),지난주 #49,12 weeks,-11.1%,288K
20200417-20200423,55위,12:45 (Stripped),Etham,지난주 #51,5 weeks,-7.2%,284K
20200417-20200423,56위,"BAND (창모(CHANGMO), 해쉬 스완(Hash Swan), ASH ISLAND & 김효은)",창모(CHANGMO),지난주 #55,18 weeks,2.1%,284K
20200417-20200423,57위,버릇처럼 셋을 센다,KCM,지난주 #58,9 weeks,4%,283K
20200417-20200423,58위,BIRTHDAY,Anne-Marie,지난주 #40,11 weeks,-22%,281K
20200417-20200423,59위,LALALILALA,에이프릴(APRIL),--,1 week,--,274K
20200417-20200423,60위,To Die For,Sam Smith(샘 스미스),지난주 #53,8 weeks,-9.5%,270K
20200417-20200423,61위,Square (2017),백예린,지난주 #60,20 weeks,-1.1%,265K
20200417-20200423,62위,봄이여 오라 (feat. Yuri),MC 스나이퍼(MC Sniper),--,1 week,--,264K
20200417-20200423,63위,Break My Heart,두아 리파,지난주 #48,4 weeks,-21.8%,256K
20200417-20200423,64위,400km (Feat. Kid Milli) (feat. 키드밀리),한요한,지난주 #61,4 weeks,-3.9%,254K
20200417-20200423,65위,뜸(Hold),WINNER,지난주 #34,4 weeks,-37.9%,253K
20200417-20200423,66위,화려하지 않은 고백 (Confession Is Not Flashy),규현(KYUHYUN),지난주 #87,2 weeks,31.9%,247K
20200417-20200423,67위,기억을 걷는 시간 (The time of walking on remembrance),넬(NELL),지난주 #69,11 weeks,4.8%,240K
20200417-20200423,68위,JOKE! (feat. 씨잼(C Jamm) & 사이먼 도미닉),CODE KUNST,지난주 #62,6 weeks,-3%,239K
20200417-20200423,69위,"한강 gang megamix (Feat. 장석훈, CHANGMO, Coogie, SUPERBEE, Beenzino, ZENE THE ZILLA)",더 콰이엇(The Quiett),지난주 #66,20 weeks,-0.1%,238K
20200417-20200423,70위,Va va vis,Florina,지난주 #74,7 weeks,13.3%,238K
20200417-20200423,71위,Black Swan,방탄소년단,지난주 #59,14 weeks,-13.6%,234K
20200417-20200423,72위,아로하,쿨(COOL),지난주 #64,4 weeks,-4%,231K
20200417-20200423,73위,Maniac,코난 그레이,지난주 #68,12 weeks,-0.4%,228K
20200417-20200423,74위,Lonely Night,권진아,지난주 #81,4 weeks,13.1%,227K
20200417-20200423,75위,Remember (Live),WINNER,지난주 #65,2 weeks,-5%,227K
20200417-20200423,76위,Godzilla (feat. 주스 월드),Eminem(에미넴),지난주 #72,13 weeks,-3.9%,213K
20200417-20200423,77위,Hello Mr. My Yesterday,애쉬그레이,지난주 #88,3 weeks,14.1%,211K
20200417-20200423,78위,Friends,방탄소년단,지난주 #70,9 weeks,-9.8%,205K
20200417-20200423,79위,"Flower (feat. 박재범(Jay Park), 우원재 & 기리보이(Giriboy))",CODE KUNST,지난주 #73,3 weeks,-6.5%,203K
20200417-20200423,80위,바람기억(Memory Of The Wind),나얼,--,11 weeks,--,201K
20200417-20200423,81위,BREAK ALL THE RULES,CRAVITY,지난주 #56,2 weeks,-27.8%,199K
20200417-20200423,82위,The Night I Miss You 니가 보고싶은 밤 (Live),윤딴딴,지난주 #86,3 weeks,5.6%,198K
20200417-20200423,83위,BOSS,NCT U,지난주 #75,17 weeks,-6.2%,197K
20200417-20200423,84위,ㅂㅜㄹㅌㅣ Spark,태연(TAEYEON),--,21 weeks,--,195K
20200417-20200423,85위,"다시 난, 여기 (Here I Am Again)",백예린,지난주 #83,15 weeks,-0.5%,192K
20200417-20200423,86위,hello!,Role Model,--,2 weeks,--,187K
20200417-20200423,87위,You(그대만이),장덕철,--,1 week,--,185K
20200417-20200423,88위,YOU&I(너랑 나),아이유(IU),지난주 #85,11 weeks,-2.5%,185K
20200417-20200423,89위,Hopefully sky(하늘바라기) (feat. 하림),정은지,지난주 #78,9 weeks,-9.9%,184K
20200417-20200423,90위,I Just Want To Stay With You,Zion.T,--,1 week,--,183K
20200417-20200423,91위,Supalonely (feat. 거스 대퍼튼),BENEE,지난주 #91,5 weeks,-1.3%,178K
20200417-20200423,92위,I will give you all (내가 많이 사랑해요),이승철,지난주 #76,9 weeks,-13.8%,178K
20200417-20200423,93위,Falling,Harry Styles(해리 스타일스),지난주 #84,12 weeks,-8.1%,177K
20200417-20200423,94위,Sometimes (가끔),크러쉬(Crush),--,1 week,--,177K
20200417-20200423,95위,눈물비 (정동원 Ver.),정동원,지난주 #77,13 weeks,-15%,175K
20200417-20200423,96위,미쳐(Crazy),포미닛(4minute),--,1 week,--,174K
20200417-20200423,97위,NOT BY THE MOON,GOT7(갓세븐),--,1 week,--,173K
20200417-20200423,98위,Orbit,화사,--,1 week,--,172K
20200417-20200423,99위,Oh! my mistake (예쁜 게 죄),에이프릴(APRIL),--,15 weeks,--,172K
20200417-20200423,100위,comethru,Jeremy Zucker,--,16 weeks,--,171K
20200410-20200416,1위,WANNABE,ITZY,지난주 #1,6 weeks,-12.2%,2.74M
20200410-20200416,2위,돌덩이,하현우,지난주 #3,8 weeks,-18.6%,1.99M
20200410-20200416,3위,Oh my god,(여자)아이들,지난주 #2,2 weeks,-42.9%,1.66M
20200410-20200416,4위,덤더럼 (Dumhdurum),에이핑크,--,1 week,--,1.61M
20200410-20200416,5위,시작,가호,지난주 #4,10 weeks,-7.7%,1.54M
20200410-20200416,6위,DANCE MONKEY,톤스 앤 아이,지난주 #6,21 weeks,1.7%,1.31M
20200410-20200416,7위,ON,방탄소년단,지난주 #5,8 weeks,-10.7%,1.25M
20200410-20200416,8위,FIESTA,아이즈원,지난주 #9,9 weeks,-0.3%,1.16M
20200410-20200416,9위,"그때 그 아인 (Someday, The Boy)",김필 (Kim Feel),지난주 #7,8 weeks,-5.1%,1.12M
20200410-20200416,10위,Any song (아무노래),지코(ZICO),지난주 #8,14 weeks,-6.6%,1.09M
20200410-20200416,11위,아로하 (Aloha),Jo Jung-suk,지난주 #12,3 weeks,13.5%,1.04M
20200410-20200416,12위,흔들리는 꽃들 속에서 네 샴푸향이 느껴진거야,장범준,지난주 #11,26 weeks,-2.1%,924K
20200410-20200416,13위,Psycho,Red Velvet,지난주 #13,17 weeks,0.2%,894K
20200410-20200416,14위,METEOR,창모(CHANGMO),지난주 #10,19 weeks,-12.8%,881K
20200410-20200416,15위,Blueming(블루밍),아이유(IU),지난주 #14,22 weeks,-1.4%,806K
20200410-20200416,16위,HIP,마마무(MAMAMOO),지난주 #17,22 weeks,17.6%,730K
20200410-20200416,17위,우리집 My House,2PM,지난주 #18,13 weeks,9.8%,655K
20200410-20200416,18위,BLOOM (처음처럼),엠씨더맥스,지난주 #16,4 weeks,-5.2%,629K
20200410-20200416,19위,니가 왜 거기서 나와 (feat. Go Eun-ah),영탁,지난주 #27,15 weeks,21.2%,588K
20200410-20200416,20위,영웅 (英雄; Kick It),NCT 127,지난주 #15,6 weeks,-21%,583K
20200410-20200416,21위,Don't Start Now,두아 리파,지난주 #31,24 weeks,15.7%,540K
20200410-20200416,22위,Say So,도자캣,지난주 #21,7 weeks,2%,539K
20200410-20200416,23위,Half (반만),진민호,지난주 #24,8 weeks,-0.6%,507K
20200410-20200416,24위,오늘도 빛나는 너에게 (To You My Light) (feat. 이라온),마크툽(MAKTUB),지난주 #20,44 weeks,-7.5%,506K
20200410-20200416,25위,좋은 사람 있으면 소개시켜줘,조이(JOY),지난주 #26,4 weeks,0.3%,502K
20200410-20200416,26위,Physical (feat. 화사),두아 리파,지난주 #22,6 weeks,-5.9%,491K
20200410-20200416,27위,Memories,Maroon 5(마룬 파이브),지난주 #28,28 weeks,1.9%,491K
20200410-20200416,28위,LION,(여자)아이들,지난주 #25,24 weeks,-2.1%,491K
20200410-20200416,29위,폰서트,10cm(십센치),지난주 #32,32 weeks,7.3%,489K
20200410-20200416,30위,Feel Special,TWICE(트와이스),지난주 #29,30 weeks,-0.2%,480K
20200410-20200416,31위,깡 GANG,정지훈,지난주 #30,7 weeks,0%,475K
20200410-20200416,32위,Believer,Imagine Dragons(이매진 드래곤스),--,29 weeks,--,417K
20200410-20200416,33위,Blinding Lights,The Weeknd(위켄드),지난주 #36,6 weeks,3.3%,412K
20200410-20200416,34위,뜸(Hold),WINNER,지난주 #23,3 weeks,-21.3%,408K
20200410-20200416,35위,ICY,ITZY,지난주 #33,38 weeks,-8.6%,407K
20200410-20200416,36위,FANCY,TWICE(트와이스),지난주 #39,52 weeks,1.1%,388K
20200410-20200416,37위,Give You My Heart (마음을 드려요),아이유(IU),지난주 #71,9 weeks,62.3%,384K
20200410-20200416,38위,벚꽃 엔딩,버스커 버스커(Busker Busker),지난주 #34,26 weeks,-12.8%,379K
20200410-20200416,39위,어떻게 지내 (I Need You),오반,지난주 #47,6 weeks,7.2%,365K
20200410-20200416,40위,BIRTHDAY,Anne-Marie,지난주 #45,10 weeks,3.2%,360K
20200410-20200416,41위,주저하는 연인들을 위해 (For Lovers Who Hesitate),잔나비,지난주 #40,30 weeks,-2.4%,358K
20200410-20200416,42위,"야망 (AMBITION) (feat. ASH ISLAND, 김효은, Hash Swan & 창모(CHANGMO))",릴러말즈(Leellamarz),지난주 #38,39 weeks,-6.9%,358K
20200410-20200416,43위,BAD,크리스토퍼,지난주 #37,12 weeks,-11.6%,346K
20200410-20200416,44위,Show Yourself (Idina Menzel(이디나 멘젤) & Evan Rachel Wood),Idina Menzel(이디나 멘젤),지난주 #42,3 weeks,-5.3%,343K
20200410-20200416,45위,Uh-Oh,(여자)아이들,지난주 #48,38 weeks,4.9%,342K
20200410-20200416,46위,마음이 말하는 행복 (Happiness) (feat.이라온),마크툽(MAKTUB),지난주 #41,14 weeks,-7.4%,338K
20200410-20200416,47위,Painkiller,루엘,지난주 #46,24 weeks,-2.2%,337K
20200410-20200416,48위,Break My Heart,두아 리파,지난주 #83,3 weeks,56.9%,328K
20200410-20200416,49위,DUN DUN,EVERGLOW (에버글로우),지난주 #43,11 weeks,-10.3%,323K
20200410-20200416,50위,Bad Boy,Red Velvet,--,27 weeks,--,307K
20200410-20200416,51위,12:45 (Stripped),Etham,지난주 #61,4 weeks,12.7%,306K
20200410-20200416,52위,ROXANNE,아리조나 제르바스,지난주 #64,21 weeks,15.1%,300K
20200410-20200416,53위,To Die For,Sam Smith(샘 스미스),지난주 #50,7 weeks,-8.4%,298K
20200410-20200416,54위,빌었어,창모(CHANGMO),지난주 #49,18 weeks,-8.7%,298K
20200410-20200416,55위,"BAND (창모(CHANGMO), 해쉬 스완(Hash Swan), ASH ISLAND & 김효은)",창모(CHANGMO),지난주 #56,17 weeks,-0.4%,278K
20200410-20200416,56위,BREAK ALL THE RULES,CRAVITY,--,1 week,--,276K
20200410-20200416,57위,"When I tell you goodbye (아무렇지 않게, 안녕)",박혜원(HYNN),지난주 #53,3 weeks,-7.6%,275K
20200410-20200416,58위,버릇처럼 셋을 센다,KCM,지난주 #55,8 weeks,-5.3%,272K
20200410-20200416,59위,Black Swan,방탄소년단,지난주 #51,13 weeks,-12.9%,271K
20200410-20200416,60위,Square (2017),백예린,지난주 #54,19 weeks,-9.2%,267K
20200410-20200416,61위,400km (Feat. Kid Milli) (feat. 키드밀리),한요한,지난주 #68,3 weeks,4.2%,265K
20200410-20200416,62위,JOKE! (feat. 씨잼(C Jamm) & 사이먼 도미닉),CODE KUNST,지난주 #57,5 weeks,-10.6%,247K
20200410-20200416,63위,어머님이 누구니 (Who's your mama?) (feat. 제시(Jessi)),박진영,--,6 weeks,--,244K
20200410-20200416,64위,아로하,쿨(COOL),지난주 #72,3 weeks,4.3%,240K
20200410-20200416,65위,Remember (Live),WINNER,--,1 week,--,238K
20200410-20200416,66위,"한강 gang megamix (Feat. 장석훈, CHANGMO, Coogie, SUPERBEE, Beenzino, ZENE THE ZILLA)",더 콰이엇(The Quiett),지난주 #66,19 weeks,-8%,238K
20200410-20200416,67위,이태원 연가,조명섭,--,1 week,--,232K
20200410-20200416,68위,Maniac,코난 그레이,지난주 #77,11 weeks,4.7%,229K
20200410-20200416,69위,기억을 걷는 시간 (The time of walking on remembrance),넬(NELL),지난주 #79,10 weeks,5.4%,229K
20200410-20200416,70위,Friends,방탄소년단,지난주 #65,8 weeks,-12.3%,227K
20200410-20200416,71위,"코로나 퇴치송 (김호중, 영탁, Lee Chanwon, 임영웅 & 장민호)",김호중,지난주 #67,4 weeks,-12.7%,225K
20200410-20200416,72위,Godzilla (feat. 주스 월드),Eminem(에미넴),지난주 #63,12 weeks,-16.4%,222K
20200410-20200416,73위,"Flower (feat. 박재범(Jay Park), 우원재 & 기리보이(Giriboy))",CODE KUNST,지난주 #44,2 weeks,-38.2%,217K
20200410-20200416,74위,Va va vis,Florina,지난주 #95,6 weeks,13.6%,210K
20200410-20200416,75위,BOSS,NCT U,지난주 #76,16 weeks,-4.5%,210K
20200410-20200416,76위,I will give you all (내가 많이 사랑해요),이승철,지난주 #75,8 weeks,-7.8%,207K
20200410-20200416,77위,눈물비 (정동원 Ver.),정동원,지난주 #87,12 weeks,3.4%,206K
20200410-20200416,78위,Hopefully sky(하늘바라기) (feat. 하림),정은지,지난주 #84,8 weeks,-1.3%,205K
20200410-20200416,79위,Selfmade Orange 2 (feat. 창모(CHANGMO) & Paul Blanco),SUPERBEE,지난주 #74,5 weeks,-10.6%,203K
20200410-20200416,80위,상사화(Magic Lily),안예은,--,9 weeks,--,202K
20200410-20200416,81위,Lonely Night,권진아,지난주 #82,3 weeks,-5.6%,200K
20200410-20200416,82위,나의 사람아,김호중,지난주 #62,3 weeks,-27.8%,196K
20200410-20200416,83위,"다시 난, 여기 (Here I Am Again)",백예린,지난주 #86,14 weeks,-5.3%,193K
20200410-20200416,84위,Falling,Harry Styles(해리 스타일스),지난주 #85,11 weeks,-5.6%,193K
20200410-20200416,85위,YOU&I(너랑 나),아이유(IU),지난주 #100,10 weeks,9.1%,190K
20200410-20200416,86위,The Night I Miss You 니가 보고싶은 밤 (Live),윤딴딴,지난주 #98,2 weeks,6.8%,188K
20200410-20200416,87위,화려하지 않은 고백 (Confession Is Not Flashy),규현(KYUHYUN),--,1 week,--,187K
20200410-20200416,88위,Hello Mr. My Yesterday,애쉬그레이,--,2 weeks,--,185K
20200410-20200416,89위,00:00 (Zero O’Clock),방탄소년단,지난주 #88,8 weeks,-7.8%,183K
20200410-20200416,90위,every moment with you (당신과는 천천히),장범준,지난주 #91,12 weeks,-3.5%,183K
20200410-20200416,91위,Supalonely (feat. 거스 대퍼튼),BENEE,지난주 #97,4 weeks,1.3%,181K
20200410-20200416,92위,Sweet Night,뷔,지난주 #73,5 weeks,-22%,179K
20200410-20200416,93위,봄이 좋냐?? What The Spring??,10cm(십센치),지난주 #89,9 weeks,-9.7%,178K
20200410-20200416,94위,Crying and regretting (울면서 후회하네) (임영웅 & Kim Soochan),임영웅,지난주 #35,3 weeks,-58.1%,177K
20200410-20200416,95위,Into the Unknown,Panic! At The Disco(패닉 앳 더 디스코),지난주 #96,15 weeks,-1.8%,175K
20200410-20200416,96위,2U,강다니엘,지난주 #70,3 weeks,-27.4%,173K
20200410-20200416,97위,Luv U,(여자)아이들,--,1 week,--,172K
20200410-20200416,98위,You Were Beautiful(예뻤어),DAY6(데이식스),지난주 #80,4 weeks,-19.8%,171K
20200410-20200416,99위,Boss Bitch,도자캣,--,1 week,--,170K
20200410-20200416,100위,"Good Day (pH-1, 키드밀리 & Loopy) (feat. 팔로알토)",pH-1,--,14 weeks,--,169K
20200403-20200409,1위,WANNABE,ITZY,지난주 #1,5 weeks,-23.6%,3.12M
20200403-20200409,2위,Oh my god,(여자)아이들,--,1 week,--,2.91M
20200403-20200409,3위,돌덩이,하현우,지난주 #2,7 weeks,-11.2%,2.45M
20200403-20200409,4위,시작,가호,지난주 #4,9 weeks,-4.2%,1.67M
20200403-20200409,5위,ON,방탄소년단,지난주 #3,7 weeks,-24.9%,1.39M
20200403-20200409,6위,DANCE MONKEY,톤스 앤 아이,지난주 #9,20 weeks,28.4%,1.29M
20200403-20200409,7위,"그때 그 아인 (Someday, The Boy)",김필 (Kim Feel),지난주 #8,7 weeks,1.1%,1.18M
20200403-20200409,8위,Any song (아무노래),지코(ZICO),지난주 #6,13 weeks,-11.5%,1.17M
20200403-20200409,9위,FIESTA,아이즈원,지난주 #5,8 weeks,-15.4%,1.16M
20200403-20200409,10위,METEOR,창모(CHANGMO),지난주 #12,18 weeks,12.6%,1.01M
20200403-20200409,11위,흔들리는 꽃들 속에서 네 샴푸향이 느껴진거야,장범준,지난주 #10,25 weeks,2.1%,944K
20200403-20200409,12위,아로하 (Aloha),Jo Jung-suk,지난주 #16,2 weeks,16.5%,919K
20200403-20200409,13위,Psycho,Red Velvet,지난주 #11,16 weeks,-2.9%,892K
20200403-20200409,14위,Blueming(블루밍),아이유(IU),지난주 #13,21 weeks,-6.1%,818K
20200403-20200409,15위,영웅 (英雄; Kick It),NCT 127,지난주 #18,5 weeks,4.3%,739K
20200403-20200409,16위,BLOOM (처음처럼),엠씨더맥스,지난주 #15,3 weeks,-21.6%,664K
20200403-20200409,17위,HIP,마마무(MAMAMOO),지난주 #21,21 weeks,-0.1%,620K
20200403-20200409,18위,우리집 My House,2PM,지난주 #71,12 weeks,158.3%,597K
20200403-20200409,19위,Boy With Luv (feat. Halsey(할시)),방탄소년단,지난주 #19,52 weeks,-9%,579K
20200403-20200409,20위,오늘도 빛나는 너에게 (To You My Light) (feat. 이라온),마크툽(MAKTUB),지난주 #23,43 weeks,-4.2%,547K
20200403-20200409,21위,Say So,도자캣,지난주 #30,6 weeks,15.1%,529K
20200403-20200409,22위,Physical (feat. 화사),두아 리파,지난주 #14,5 weeks,-38.6%,522K
20200403-20200409,23위,뜸(Hold),WINNER,지난주 #7,2 weeks,-59.1%,519K
20200403-20200409,24위,Half (반만),진민호,지난주 #25,7 weeks,0.8%,510K
20200403-20200409,25위,LION,(여자)아이들,--,23 weeks,--,501K
20200403-20200409,26위,좋은 사람 있으면 소개시켜줘,조이(JOY),지난주 #34,3 weeks,18.6%,501K
20200403-20200409,27위,니가 왜 거기서 나와 (feat. Go Eun-ah),영탁,지난주 #28,14 weeks,1.2%,485K
20200403-20200409,28위,Memories,Maroon 5(마룬 파이브),지난주 #27,27 weeks,-0.1%,482K
20200403-20200409,29위,Feel Special,TWICE(트와이스),지난주 #31,29 weeks,5.8%,481K
20200403-20200409,30위,깡 GANG,정지훈,지난주 #22,6 weeks,-21%,475K
20200403-20200409,31위,Don't Start Now,두아 리파,지난주 #26,23 weeks,-3.3%,466K
20200403-20200409,32위,폰서트,10cm(십센치),지난주 #40,31 weeks,18.4%,456K
20200403-20200409,33위,ICY,ITZY,지난주 #33,37 weeks,4.7%,446K
20200403-20200409,34위,벚꽃 엔딩,버스커 버스커(Busker Busker),지난주 #39,25 weeks,12.4%,435K
20200403-20200409,35위,Crying and regretting (울면서 후회하네) (임영웅 & Kim Soochan),임영웅,지난주 #55,2 weeks,41.9%,421K
20200403-20200409,36위,Blinding Lights,The Weeknd(위켄드),지난주 #37,5 weeks,0.1%,399K
20200403-20200409,37위,BAD,크리스토퍼,지난주 #52,11 weeks,25.4%,391K
20200403-20200409,38위,"야망 (AMBITION) (feat. ASH ISLAND, 김효은, Hash Swan & 창모(CHANGMO))",릴러말즈(Leellamarz),지난주 #36,38 weeks,-5.8%,384K
20200403-20200409,39위,FANCY,TWICE(트와이스),지난주 #38,51 weeks,-0.9%,384K
20200403-20200409,40위,주저하는 연인들을 위해 (For Lovers Who Hesitate),잔나비,지난주 #50,29 weeks,11.6%,367K
20200403-20200409,41위,마음이 말하는 행복 (Happiness) (feat.이라온),마크툽(MAKTUB),지난주 #41,13 weeks,-1.1%,365K
20200403-20200409,42위,Show Yourself (Idina Menzel(이디나 멘젤) & Evan Rachel Wood),Idina Menzel(이디나 멘젤),지난주 #32,2 weeks,-15.3%,362K
20200403-20200409,43위,DUN DUN,EVERGLOW (에버글로우),지난주 #35,10 weeks,-12.3%,361K
20200403-20200409,44위,"Flower (feat. 박재범(Jay Park), 우원재 & 기리보이(Giriboy))",CODE KUNST,--,1 week,--,351K
20200403-20200409,45위,BIRTHDAY,Anne-Marie,지난주 #47,9 weeks,2.2%,349K
20200403-20200409,46위,Painkiller,루엘,지난주 #43,23 weeks,-3.5%,344K
20200403-20200409,47위,어떻게 지내 (I Need You),오반,지난주 #48,5 weeks,2%,341K
20200403-20200409,48위,Uh-Oh,(여자)아이들,--,37 weeks,--,326K
20200403-20200409,49위,빌었어,창모(CHANGMO),지난주 #45,17 weeks,-7.2%,326K
20200403-20200409,50위,To Die For,Sam Smith(샘 스미스),지난주 #46,6 weeks,-6.3%,326K
20200403-20200409,51위,Black Swan,방탄소년단,지난주 #44,12 weeks,-12.1%,311K
20200403-20200409,52위,"Bom(나만, 봄)",볼빨간사춘기,지난주 #65,23 weeks,16.8%,302K
20200403-20200409,53위,"When I tell you goodbye (아무렇지 않게, 안녕)",박혜원(HYNN),지난주 #77,2 weeks,41.2%,297K
20200403-20200409,54위,Square (2017),백예린,지난주 #63,18 weeks,9.3%,294K
20200403-20200409,55위,버릇처럼 셋을 센다,KCM,지난주 #64,7 weeks,8.4%,287K
20200403-20200409,56위,"BAND (창모(CHANGMO), 해쉬 스완(Hash Swan), ASH ISLAND & 김효은)",창모(CHANGMO),지난주 #60,16 weeks,1.1%,279K
20200403-20200409,57위,JOKE! (feat. 씨잼(C Jamm) & 사이먼 도미닉),CODE KUNST,지난주 #82,4 weeks,39.1%,276K
20200403-20200409,58위,I'll Give You All My Love,장혜리,--,1 week,--,273K
20200403-20200409,59위,Mellow Mellow,베리굿,--,1 week,--,272K
20200403-20200409,60위,사랑은 꽃잎처럼 (Love is like a petal),홍진영,--,1 week,--,272K
20200403-20200409,61위,12:45 (Stripped),Etham,지난주 #75,3 weeks,26.9%,272K
20200403-20200409,62위,나의 사람아,김호중,--,2 weeks,--,272K
20200403-20200409,63위,Godzilla (feat. 주스 월드),Eminem(에미넴),지난주 #53,11 weeks,-14%,266K
20200403-20200409,64위,ROXANNE,아리조나 제르바스,지난주 #67,20 weeks,6.9%,261K
20200403-20200409,65위,Friends,방탄소년단,지난주 #58,7 weeks,-7.1%,259K
