20200424-20200430,55위,"When I tell you goodbye (아무렇지 않게, 안녕)",박혜원(HYNN),지난주 #49,5 weeks,5%,315K
20200424-20200430,56위,Love poem,아이유(IU),--,21 weeks,--,311K
20200424-20200430,57위,우리 만남이 (But I'll Miss You),폴킴(Paul Kim),--,1 week,--,305K
20200424-20200430,58위,Show Yourself (Idina Menzel(이디나 멘젤) & Evan Rachel Wood),Idina Menzel(이디나 멘젤),지난주 #48,5 weeks,0.1%,302K
20200424-20200430,59위,버릇처럼 셋을 센다,KCM,지난주 #57,10 weeks,6.3%,301K
20200424-20200430,60위,시청 앞 지하철 역에서 (In front of city hall at the subway station),곽진언,지난주 #51,2 weeks,-0.1%,296K
20200424-20200430,61위,"BAND (창모(CHANGMO), 해쉬 스완(Hash Swan), ASH ISLAND & 김효은)",창모(CHANGMO),지난주 #56,19 weeks,0.7%,286K
20200424-20200430,62위,DUN DUN,EVERGLOW (에버글로우),지난주 #54,13 weeks,-3.5%,278K
20200424-20200430,63위,나쁜 놈 (Bad),벤,--,1 week,--,277K
20200424-20200430,64위,12:45 (Stripped),에담,지난주 #55,6 weeks,-2.9%,276K
20200424-20200430,65위,화려하지 않은 고백 (Confession Is Not Flashy),규현(KYUHYUN),지난주 #66,3 weeks,8.5%,268K
20200424-20200430,66위,"한강 gang megamix (Feat. 장석훈, CHANGMO, Coogie, SUPERBEE, Beenzino, ZENE THE ZILLA)",더 콰이엇(The Quiett),지난주 #69,21 weeks,10.5%,263K
20200424-20200430,67위,행복(Happiness),Red Velvet,--,21 weeks,--,262K
20200424-20200430,68위,Dolphin,오마이걸(OH MY GIRL),--,1 week,--,261K
20200424-20200430,69위,Snapping,청하,--,26 weeks,--,258K
20200424-20200430,70위,아로하,쿨(COOL),지난주 #72,5 weeks,10.7%,256K
20200424-20200430,71위,Refresh (지코(ZICO) & 강다니엘),지코(ZICO),--,1 week,--,254K
20200424-20200430,72위,Forever Young,BLACKPINK,--,23 weeks,--,247K
20200424-20200430,73위,Va va vis,Florina,지난주 #70,8 weeks,3.9%,247K
20200424-20200430,74위,400km (Feat. Kid Milli) (feat. 키드밀리),한요한,지난주 #64,5 weeks,-3.9%,244K
20200424-20200430,75위,To Die For,Sam Smith(샘 스미스),지난주 #60,9 weeks,-9.6%,244K
20200424-20200430,76위,Oh! my mistake (예쁜 게 죄),에이프릴(APRIL),지난주 #99,16 weeks,39.4%,240K
20200424-20200430,77위,BIRTHDAY,Anne-Marie,지난주 #58,12 weeks,-18.8%,228K
20200424-20200430,78위,Break My Heart,두아 리파,지난주 #63,5 weeks,-11.7%,226K
20200424-20200430,79위,기억을 걷는 시간 (The time of walking on remembrance),넬(NELL),지난주 #67,12 weeks,-6.4%,224K
20200424-20200430,80위,Godzilla (feat. 주스 월드),Eminem(에미넴),지난주 #76,14 weeks,5%,224K
20200424-20200430,81위,Black Swan,방탄소년단,지난주 #71,15 weeks,-4.7%,224K
20200424-20200430,82위,Hello Mr. My Yesterday,애쉬그레이,지난주 #77,4 weeks,2.8%,217K
20200424-20200430,83위,Maniac,코난 그레이,지난주 #73,13 weeks,-5.6%,215K
20200424-20200430,84위,바람기억(Memory Of The Wind),나얼,지난주 #80,12 weeks,6.1%,213K
20200424-20200430,85위,Payphone (feat. Wiz Khalifa(위즈 칼리파)),Maroon 5(마룬 파이브),--,1 week,--,212K
20200424-20200430,86위,Lonely Night,권진아,지난주 #74,5 weeks,-8.4%,207K
20200424-20200430,87위,Sometimes (가끔),크러쉬(Crush),지난주 #94,2 weeks,15.7%,204K
20200424-20200430,88위,JOKE! (feat. 씨잼(C Jamm) & 사이먼 도미닉),CODE KUNST,지난주 #68,7 weeks,-14.7%,204K
20200424-20200430,89위,미쳐(Crazy),포미닛(4minute),지난주 #96,2 weeks,15.5%,201K
20200424-20200430,90위,친구 (Friends),방탄소년단,지난주 #78,10 weeks,-2.9%,199K
20200424-20200430,91위,농담처럼 (Just Kidding),기리보이(Giriboy),--,1 week,--,198K
20200424-20200430,92위,%%(Eung Eung(응응)),에이핑크,--,14 weeks,--,197K
20200424-20200430,93위,BOSS,NCT U,지난주 #83,18 weeks,-0.6%,196K
20200424-20200430,94위,9와 4분의 3 승강장에서 너를 기다려 (Run Away),투모로우바이투게더,--,21 weeks,--,195K
20200424-20200430,95위,YOU&I(너랑 나),아이유(IU),지난주 #88,12 weeks,5.5%,195K
20200424-20200430,96위,그대 고운 내사랑,어반자카파 (URBAN ZAKAPA),--,1 week,--,192K
20200424-20200430,97위,뜸(Hold),WINNER,지난주 #65,5 weeks,-25.5%,189K
20200424-20200430,98위,comethru,제레미 주커,지난주 #100,17 weeks,9.7%,188K
20200424-20200430,99위,WINDY DAY,오마이걸(OH MY GIRL),--,8 weeks,--,186K
20200424-20200430,100위,바나나 알러지 원숭이,오마이걸 반하나,--,13 weeks,--,184K
20200501-20200507,1위,eight (에잇) (feat. Agust D),아이유(IU),--,1 week,--,3.48M
20200501-20200507,2위,Nonstop (살짝 설렜어),오마이걸(OH MY GIRL),지난주 #1,2 weeks,-12%,3.37M
20200501-20200507,3위,WANNABE,ITZY,지난주 #2,9 weeks,-1.3%,2.04M
20200501-20200507,4위,덤더럼 (Dumhdurum),에이핑크,지난주 #3,4 weeks,0.9%,1.75M
20200501-20200507,5위,아로하 (Aloha),Jo Jung-suk,지난주 #6,6 weeks,12.7%,1.61M
20200501-20200507,6위,Stay Tonight,청하,지난주 #5,2 weeks,-5.3%,1.39M
20200501-20200507,7위,돌덩이,하현우,지난주 #4,11 weeks,-10.5%,1.37M
20200501-20200507,8위,시작,이루리,지난주 #7,13 weeks,-6%,1.17M
20200501-20200507,9위,ON,방탄소년단,지난주 #8,11 weeks,0.5%,1.15M
20200501-20200507,10위,Ridin',NCT DREAM,지난주 #27,2 weeks,105.6%,1.04M
20200501-20200507,11위,LALALILALA,에이프릴(APRIL),지난주 #9,3 weeks,-12.1%,945K
20200501-20200507,12위,Blueming(블루밍),아이유(IU),지난주 #19,25 weeks,16.2%,929K
20200501-20200507,13위,Any song (아무노래),지코(ZICO),지난주 #13,17 weeks,-2%,898K
20200501-20200507,14위,FIESTA,아이즈원,지난주 #15,12 weeks,-6.7%,854K
20200501-20200507,15위,DANCE MONKEY,톤스 앤 아이,지난주 #12,24 weeks,-8.4%,841K
20200501-20200507,16위,"그때 그 아인 (Someday, The Boy)",김필 (Kim Feel),지난주 #14,11 weeks,-10%,824K
20200501-20200507,17위,METEOR,창모(CHANGMO),지난주 #16,22 weeks,-6.3%,806K
20200501-20200507,18위,영웅 (英雄; Kick It),NCT 127,지난주 #22,9 weeks,12.9%,786K
20200501-20200507,19위,Psycho,Red Velvet,지난주 #20,20 weeks,-1.1%,751K
20200501-20200507,20위,흔들리는 꽃들 속에서 네 샴푸향이 느껴진거야,장범준,지난주 #18,29 weeks,-8.5%,732K
20200501-20200507,21위,Dolphin,오마이걸(OH MY GIRL),지난주 #68,2 weeks,172.6%,712K
20200501-20200507,22위,니가 왜 거기서 나와 (feat. Go Eun-ah),영탁,지난주 #24,18 weeks,10.9%,639K
20200501-20200507,23위,Oh my god,(여자)아이들,지난주 #17,5 weeks,-25.2%,622K
20200501-20200507,24위,Memories,Maroon 5(마룬 파이브),지난주 #23,31 weeks,-3.9%,572K
