"","제목","시청률","주차"
"1","효리네민박2","6.929","20180422"
"2","JTBC뉴스룸","4.391","20180422"
"3","특별기획드라마(대군사랑을그리다)","4.188","20180422"
"4","MBN뉴스8","3.557","20180422"
"5","알토란","3.426","20180422"
"6","투유프로젝트슈가맨2","3.407","20180422"
"7","아는형님","3.368","20180422"
"8","속풀이쇼동치미","2.820","20180422"
"9","금토드라마(밥잘사주는예쁜누나)","2.795","20180422"
"10","뉴스A","2.559","20180422"
"11","효리네민박2","6.929","20180422"
"12","JTBC뉴스룸","4.391","20180422"
"13","특별기획드라마(대군사랑을그리다)","4.188","20180422"
"14","MBN뉴스8","3.557","20180422"
"15","알토란","3.426","20180422"
"16","투유프로젝트슈가맨2","3.407","20180422"
"17","아는형님","3.368","20180422"
"18","속풀이쇼동치미","2.820","20180422"
"19","금토드라마(밥잘사주는예쁜누나)","2.795","20180422"
"20","뉴스A","2.559","20180422"
"21","JTBC뉴스룸","7.510","20180423"
"22","냉장고를부탁해","5.160","20180423"
"23","판도라","4.164","20180423"
"24","MBN뉴스8","4.029","20180423"
"25","5시정치부회의","3.937","20180423"
"26","인생감정쇼얼마예요","3.705","20180423"
"27","4시사건반장","3.378","20180423"
"28","뉴스TOP10","3.286","20180423"
"29","MBN뉴스와이드","3.254","20180423"
"30","뉴스앤이슈","3.034","20180423"
"31","JTBC뉴스룸","7.510","20180423"
"32","냉장고를부탁해","5.160","20180423"
"33","판도라","4.164","20180423"
"34","MBN뉴스8","4.029","20180423"
"35","5시정치부회의","3.937","20180423"
"36","인생감정쇼얼마예요","3.705","20180423"
"37","4시사건반장","3.378","20180423"
"38","뉴스TOP10","3.286","20180423"
"39","MBN뉴스와이드","3.254","20180423"
"40","뉴스앤이슈","3.034","20180423"
"41","JTBC뉴스룸","6.573","20180424"
"42","MBN뉴스8","3.824","20180424"
"43","뭉쳐야뜬다패키지로세계일주","3.607","20180424"
"44","휴먼다큐(사노라면)","3.583","20180424"
"45","모란봉클럽통일준비위원회","3.442","20180424"
"46","엄지의제왕","3.114","20180424"
"47","5시정치부회의","3.110","20180424"
"48","MBN뉴스와이드","3.093","20180424"
"49","뉴스TOP10","3.084","20180424"
"50","외부자들","3.010","20180424"
"51","JTBC뉴스룸","6.573","20180424"
"52","MBN뉴스8","3.824","20180424"
"53","뭉쳐야뜬다패키지로세계일주","3.607","20180424"
"54","휴먼다큐(사노라면)","3.583","20180424"
"55","모란봉클럽통일준비위원회","3.442","20180424"
"56","엄지의제왕","3.114","20180424"
"57","5시정치부회의","3.110","20180424"
"58","MBN뉴스와이드","3.093","20180424"
"59","뉴스TOP10","3.084","20180424"
"60","외부자들","3.010","20180424"
"61","JTBC뉴스룸","6.419","20180425"
"62","나는자연인이다","6.085","20180425"
"63","식큐멘터리한끼줍쇼","4.908","20180425"
"64","MBN뉴스8","3.573","20180425"
"65","강적들","3.332","20180425"
"66","5시정치부회의","2.777","20180425"
"67","MBN뉴스와이드","2.727","20180425"
"68","뉴스TOP10","2.709","20180425"
"69","질문있습니다차이나는클라스","2.444","20180425"
"70","뉴스앤이슈","2.352","20180425"
"71","JTBC뉴스룸","6.419","20180425"
"72","나는자연인이다","6.085","20180425"
"73","식큐멘터리한끼줍쇼","4.908","20180425"
"74","MBN뉴스8","3.573","20180425"
"75","강적들","3.332","20180425"
"76","5시정치부회의","2.777","20180425"
"77","MBN뉴스와이드","2.727","20180425"
"78","뉴스TOP10","2.709","20180425"
"79","질문있습니다차이나는클라스","2.444","20180425"
"80","뉴스앤이슈","2.352","20180425"
"81","JTBC뉴스룸","6.051","20180426"
"82","이규연의스포트라이트","5.044","20180426"
"83","썰전","4.632","20180426"
"84","나만믿고따라와도시어부","3.798","20180426"
"85","MBN뉴스8","3.192","20180426"
"86","살림9단의만물상","3.096","20180426"
"87","뉴스파이터","2.814","20180426"
"88","여행생활자집시맨","2.771","20180426"
"89","뉴스TOP10","2.754","20180426"
"90","5시정치부회의","2.478","20180426"
"91","JTBC뉴스룸","6.051","20180426"
"92","이규연의스포트라이트","5.044","20180426"
"93","썰전","4.632","20180426"
"94","나만믿고따라와도시어부","3.798","20180426"
"95","MBN뉴스8","3.192","20180426"
"96","살림9단의만물상","3.096","20180426"
"97","뉴스파이터","2.814","20180426"
"98","여행생활자집시맨","2.771","20180426"
"99","뉴스TOP10","2.754","20180426"
"100","5시정치부회의","2.478","20180426"
"101","JTBC뉴스룸","8.218","20180427"
"102","금토드라마(밥잘사주는예쁜누나)","6.177","20180427"
"103","JTBC뉴스특보(2018남북정상회담4부)","5.464","20180427"
"104","5시정치부회의","4.869","20180427"
"105","JTBC뉴스특보(2018남북정상회담1부)","4.001","20180427"
"106","JTBC뉴스특보(2018남북정상회담2부)","3.468","20180427"
"107","JTBC뉴스현장","3.356","20180427"
"108","JTBC뉴스특보(2018남북정상회담3부)","3.350","20180427"
"109","구조신호시그널","3.199","20180427"
"110","MBN뉴스와이드","2.748","20180427"
"111","JTBC뉴스룸","8.218","20180427"
"112","금토드라마(밥잘사주는예쁜누나)","6.177","20180427"
"113","JTBC뉴스특보(2018남북정상회담4부)","5.464","20180427"
"114","5시정치부회의","4.869","20180427"
"115","JTBC뉴스특보(2018남북정상회담1부)","4.001","20180427"
"116","JTBC뉴스특보(2018남북정상회담2부)","3.468","20180427"
"117","JTBC뉴스현장","3.356","20180427"
"118","JTBC뉴스특보(2018남북정상회담3부)","3.350","20180427"
"119","구조신호시그널","3.199","20180427"
"120","MBN뉴스와이드","2.748","20180427"
"121","금토드라마(밥잘사주는예쁜누나)","5.757","20180428"
"122","아는형님","4.619","20180428"
"123","JTBC뉴스룸","4.235","20180428"
"124","속풀이쇼동치미","4.104","20180428"
"125","특별기획드라마(대군사랑을그리다)","3.612","20180428"
"126","MBN뉴스8","2.807","20180428"
"127","뉴스특보","2.795","20180428"
"128","기막힌이야기실제상황","2.721","20180428"
"129","MBN뉴스와이드","2.521","20180428"
"130","김광일의신통방통","2.410","20180428"
"131","금토드라마(밥잘사주는예쁜누나)","5.757","20180428"
"132","아는형님","4.619","20180428"
"133","JTBC뉴스룸","4.235","20180428"
"134","속풀이쇼동치미","4.104","20180428"
"135","특별기획드라마(대군사랑을그리다)","3.612","20180428"
"136","MBN뉴스8","2.807","20180428"
"137","뉴스특보","2.795","20180428"
"138","기막힌이야기실제상황","2.721","20180428"
"139","MBN뉴스와이드","2.521","20180428"
"140","김광일의신통방통","2.410","20180428"
"141","효리네민박2","5.770","20180429"
"142","JTBC뉴스룸","4.532","20180429"
"143","MBN뉴스8","4.483","20180429"
"144","투유프로젝트슈가맨2","4.093","20180429"
"145","특별기획드라마(대군사랑을그리다)","3.882","20180429"
"146","알토란","3.567","20180429"
"147","이제만나러갑니다","2.610","20180429"
"148","시사스페셜","2.601","20180429"
"149","천기누설","2.522","20180429"
"150","MBN뉴스와이드","2.328","20180429"
"151","효리네민박2","5.770","20180429"
"152","JTBC뉴스룸","4.532","20180429"
"153","MBN뉴스8","4.483","20180429"
"154","투유프로젝트슈가맨2","4.093","20180429"
"155","특별기획드라마(대군사랑을그리다)","3.882","20180429"
"156","알토란","3.567","20180429"
"157","이제만나러갑니다","2.610","20180429"
"158","시사스페셜","2.601","20180429"
"159","천기누설","2.522","20180429"
"160","MBN뉴스와이드","2.328","20180429"
"161","JTBC뉴스룸","7.647","20180430"
"162","판도라","4.960","20180430"
"163","냉장고를부탁해","4.000","20180430"
"164","MBN뉴스8","3.985","20180430"
"165","인생감정쇼얼마예요","3.671","20180430"
"166","5시정치부회의","3.599","20180430"
"167","MBN뉴스와이드","3.232","20180430"
"168","뉴스파이터","2.562","20180430"
"169","4시사건반장","2.493","20180430"
"170","뉴스TOP10","2.439","20180430"
"171","JTBC뉴스룸","7.647","20180430"
"172","판도라","4.960","20180430"
"173","냉장고를부탁해","4.000","20180430"
"174","MBN뉴스8","3.985","20180430"
"175","인생감정쇼얼마예요","3.671","20180430"
"176","5시정치부회의","3.599","20180430"
"177","MBN뉴스와이드","3.232","20180430"
"178","뉴스파이터","2.562","20180430"
"179","4시사건반장","2.493","20180430"
"180","뉴스TOP10","2.439","20180430"
"181","JTBC뉴스룸","7.454","20180501"
"182","MBN뉴스8","4.200","20180501"
"183","뭉쳐야뜬다패키지로세계일주","4.118","20180501"
"184","5시정치부회의","3.696","20180501"
"185","나는몸신이다","3.661","20180501"
"186","4시사건반장","3.648","20180501"
