,artist,name,rank_g,you_rank_g,previous_ranking,genre,season,sex,song_type,active_type,title_song,week,runtime,top_freq,gg_score,nv_score,total_view,season_genre_score,pd_score,dc_total_numb,dc_mean_reccomend,dc_mean_views,drama_view,rank_g_pred
0,10cm,폰서트,9,8,9,Indi,spring,male,K_POP,Solo,1,2018.4.29,0.50887574,0.240384615,0.31,0.478486836,0.7970829209999999,0.513549813,0.770369495,0.0,0.0,0.0,0.0,10
1,BLACKPINK,마지막처럼,7,2,8,Dance,spring,female,K_POP,Group,1,2018.4.29,0.553254438,0.317307692,0.1,0.445085611,0.8502612970000001,0.551930308,0.734790572,0.0,0.0,0.0,0.0,8
2,Camila Cabello,Havana,3,7,3,Pop,spring,female,POP,Solo,1,2018.4.29,0.565088757,0.8557692309999999,0.24,0.866723603,0.80330663,0.529332838,0.0,0.0,0.0,0.0,0.0,3
3,Carla Bruni,Stand By Your Man,8,8,7,Pop,spring,female,POP,Solo,1,2018.4.29,0.40828402399999997,0.038461537999999997,0.71,0.8893147809999999,0.794921122,0.529332838,0.85781218,0.0,0.0,0.0,0.0,8
4,DEAN,instagram,4,7,4,R&B/Soul,spring,male,K_POP,Solo,1,2018.4.29,0.680473373,0.25,0.58,0.7806463,0.798706867,0.56680661,0.0,0.0,0.0,0.0,0.0,4
5,Ed Sheeran,Shape of You,5,10,4,Pop,spring,male,POP,Solo,1,2018.4.29,0.615384615,1.0,0.46,0.871045541,0.0,0.529332838,0.0,0.0,0.0,0.0,0.0,4
6,EXO-CBX,花요일,3,4,3,Dance,spring,male,K_POP,Group,1,2018.4.29,0.514792899,0.125,0.0,0.418520254,0.8232940120000001,0.551930308,0.8149733259999999,0.0,0.0,0.0,0.0,3
7,EXO,Universe,9,10,9,Ballad,spring,male,K_POP,Group,1,2018.4.29,0.704142012,0.259615385,0.45,0.5215346160000001,0.0,0.660567269,0.8149733259999999,0.281445945,0.05145202,0.013512013,0.0,10
8,Fitz & The Tantrums,HandClap,3,5,3,Pop,spring,mixed,POP,Band,1,2018.4.29,0.49408284,0.740384615,0.0,0.927864459,0.818587194,0.529332838,0.746851113,0.0,0.0,0.0,0.0,3
9,iKON,사랑을 했다,1,10,1,Rap/Hiphop,spring,male,K_POP,Group,1,2018.4.29,0.5443786979999999,0.615384615,0.42,0.57642255,0.0,0.477571876,0.734790572,0.332159203,0.06746140099999999,0.020226624,0.0,1
10,Imagine Dragons,Thunder,7,9,8,Rock,spring,male,POP,Group,1,2018.4.29,0.476331361,0.673076923,0.22,0.554097624,0.786166813,0.5092992129999999,0.875664097,0.0,0.0,0.0,0.0,8
11,Shawn Mendes,There`s Nothing Holdin` Me Back,7,10,7,Pop,spring,male,POP,Solo,1,2018.4.29,0.514792899,0.548076923,0.16,0.8067570209999999,0.0,0.529332838,0.9168132729999999,0.0,0.0,0.0,0.0,7
12,Sondia,어른,8,5,9,Drama,spring,female,OST,Solo,1,2018.4.29,0.689349112,0.096153846,0.29,1.0,0.816485371,0.613522263,0.867515849,0.0,0.0,0.0,0.584841862,10
13,The Chainsmokers,Closer,9,10,9,Pop,spring,male,POP,Duet,1,2018.4.29,0.650887574,0.663461538,0.0,0.9011428990000001,0.0,0.529332838,0.734790572,0.0,0.0,0.0,0.0,10
14,TWICE,What is Love?,1,3,1,Dance,spring,female,K_POP,Group,1,2018.4.29,0.538461538,0.5,0.56,0.667785372,0.8391973229999999,0.551930308,1.0,0.0,0.0,0.0,0.0,1
15,Wanna One,BOOMERANG,4,3,4,Dance,spring,male,K_POP,Group,1,2018.4.29,0.467455621,0.317307692,0.25,0.857398275,0.8370941829999999,0.551930308,0.7589292329999999,0.0,0.0,0.0,0.0,4
16,WINNER,EVERYDAY,2,2,1,Rap/Hiphop,spring,male,K_POP,Group,1,2018.4.29,0.532544379,0.182692308,0.61,0.897386352,0.865398837,0.477571876,0.734790572,0.0,0.0,0.0,0.0,1
17,길구봉구,이 별,4,5,3,Ballad,spring,male,K_POP,Group,1,2018.4.29,0.627218935,0.490384615,0.24,0.49232211299999995,0.817140778,0.660567269,0.277551548,0.0,0.0,0.0,0.0,3
18,김하온,바코드,2,4,1,Rap/Hiphop,spring,male,K_POP,Project,0,2018.4.29,0.582840237,0.115384615,0.0,0.764088503,0.8276258040000001,0.477571876,0.867515849,0.0,0.0,0.0,0.0,2
19,김하온,붕붕,1,1,1,Rap/Hiphop,spring,male,K_POP,Solo,1,2018.4.29,0.618343195,0.46153846200000004,0.0,0.764088503,0.902020822,0.477571876,0.867515849,0.0,0.0,0.0,0.0,1
20,나얼,기억의 빈자리,8,10,8,R&B/Soul,spring,male,K_POP,Solo,1,2018.4.29,0.74556213,0.028846154,0.9,0.697463005,0.0,0.56680661,0.7589292329999999,0.260925962,0.045745122,0.016799481,0.0,10
21,닐로,지나오다,1,1,1,Ballad,spring,male,K_POP,Solo,1,2018.4.29,0.75443787,0.923076923,0.73,0.361357155,0.896630461,0.660567269,0.5524113970000001,0.0,0.0,0.0,0.0,1
22,러블리즈,그날의 너,9,3,5,Dance,spring,female,K_POP,Group,1,2018.4.29,0.5,0.009615385,0.54,0.693085501,0.8385419159999999,0.551930308,0.16076229,0.158034803,0.022603957,0.011055591000000002,0.0,6
